# r_bins corr_mean corr_std corr_sem
3.556893304490062885e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.067067991347018796e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.778446652245031512e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.489825313143043950e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.201203974041056943e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.912582634939069104e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.623961295837081265e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.335339956735094535e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.046718617633106696e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.758097278531118857e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.469475939429132128e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.180854600327144288e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.892233261225157559e-01 3.173182666006637009e-01 1.319218040205195619e-01 5.899722430085736075e-02
9.603611922123169720e-01 1.632295610085718662e+00 3.366013824977465152e-01 1.505327145170738123e-01
1.031499058302118188e+00 2.620212929388490597e+00 4.759853162084333733e-01 2.128671046667578726e-01
1.102636924391919404e+00 2.591120658882169359e+00 7.762498017582243337e-01 3.471494648504250824e-01
1.173774790481720842e+00 2.671029180140267023e+00 4.940010036156023410e-01 2.209239650075212336e-01
1.244912656571521836e+00 2.194604791682595479e+00 3.197717058630703546e-01 1.430062543181786772e-01
1.316050522661323274e+00 2.543233408555761965e+00 4.153997660203703757e-01 1.857724229318110931e-01
1.387188388751124712e+00 2.318052937399836200e+00 4.672185063879509825e-01 2.089464681258756118e-01
1.458326254840925706e+00 2.136743896486391847e+00 1.215665504208205960e-01 5.436621410622210354e-02
1.529464120930727145e+00 1.966435084621924290e+00 1.507494239580904338e-01 6.741719190784511984e-02
1.600601987020528139e+00 2.089338380909720794e+00 2.972192728306091714e-01 1.329204996544596784e-01
1.671739853110329577e+00 1.825525715127554793e+00 2.287861538181577559e-01 1.023162784496247507e-01
1.742877719200130793e+00 1.918168289819597971e+00 3.035631718939667545e-01 1.357575775640726401e-01
1.814015585289932009e+00 2.151919126099165691e+00 3.117464818974044483e-01 1.394172650538007818e-01
1.885153451379733447e+00 2.078867050580868181e+00 1.163569107576668260e-01 5.203639242120391278e-02
1.956291317469534441e+00 1.988702635031708299e+00 3.026408846872107872e-01 1.353451181862556918e-01
2.027429183559335879e+00 1.932981643522561743e+00 2.661602710897383317e-01 1.190304918132853856e-01
2.098567049649137317e+00 1.918099739458670072e+00 1.830339687000356319e-01 8.185527924096969166e-02
2.169704915738938311e+00 2.043111207732930534e+00 2.231603753934574275e-01 9.980035385282842730e-02
2.240842781828739305e+00 1.926552981971920264e+00 1.132395533031145679e-01 5.064226778549500013e-02
2.311980647918541187e+00 2.268794312480090003e+00 2.479477019117189429e-01 1.108855832678916215e-01
2.383118514008342181e+00 2.105912235645230446e+00 7.823477430564980406e-02 3.498765471035737012e-02
2.454256380098143175e+00 1.985599669357580810e+00 2.528330298180985758e-01 1.130703683260999293e-01
2.525394246187944614e+00 2.032679169274568043e+00 2.017463496322213501e-01 9.022371039801732606e-02
2.596532112277746052e+00 1.918690129776119635e+00 1.073536485698071835e-01 4.801001116694238874e-02
2.667669978367547046e+00 2.013599864601742784e+00 1.718353802152516596e-01 7.684711822016503102e-02
2.738807844457348484e+00 2.018138466812845255e+00 1.933370229384544781e-01 8.646294517156406789e-02
2.809945710547149922e+00 1.949025298246879201e+00 1.026983769555026849e-01 4.592811041028038027e-02
2.881083576636950916e+00 1.927855309031281106e+00 2.125247812196371378e-01 9.504397154207586129e-02
2.952221442726751910e+00 2.040784161658919516e+00 1.498968699422445761e-01 6.703591816106076184e-02
3.023359308816553792e+00 2.009926352266794503e+00 1.154966281230441066e-01 5.165166233102810867e-02
3.094497174906354786e+00 1.970982392440008724e+00 6.216937440903347323e-02 2.780298945944693206e-02
3.165635040996155780e+00 2.041966569920387276e+00 2.004949972058872876e-01 8.966408858019886408e-02
3.236772907085957218e+00 2.048993221451641311e+00 1.415608019402878892e-01 6.330791521757356266e-02
3.307910773175758656e+00 1.974551141232723905e+00 1.253355776653103382e-01 5.605177433176766061e-02
3.379048639265559650e+00 2.138895056495701663e+00 1.164342099639171513e-01 5.207096167716041696e-02
3.450186505355360644e+00 2.067996579873186747e+00 1.811996977201205672e-01 8.103496832092065005e-02
3.521324371445162527e+00 2.016761931469544411e+00 1.275029438149855587e-01 5.702104994032881208e-02
