# r_bins corr_mean corr_std
2.564963920015045015e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.694891760045134699e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.282481960007522404e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.795474744010531476e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.308467528013540271e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.821460312016549343e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.334453096019558416e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.847445880022567488e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.360438664025576561e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.873431448028585633e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.386424232031594705e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.899417016034602668e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.412409800037612850e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.925402584040620813e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.438395368043630995e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.951388152046638957e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.464380936049649140e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.977373720052657102e-01 8.994281933125390649e-02 0.000000000000000000e+00
9.490366504055667285e-01 9.657848386920612205e-01 0.000000000000000000e+00
1.000335928805867525e+00 2.535370400281072190e+00 0.000000000000000000e+00
1.051635207206168321e+00 4.457011808621921922e+00 0.000000000000000000e+00
1.102934485606469339e+00 4.647937472742730947e+00 0.000000000000000000e+00
1.154233764006770357e+00 4.516017854570486989e+00 0.000000000000000000e+00
1.205533042407071154e+00 3.990220142355310529e+00 0.000000000000000000e+00
1.256832320807371950e+00 2.478016450963117734e+00 0.000000000000000000e+00
1.308131599207672968e+00 2.118030635924375460e+00 0.000000000000000000e+00
1.359430877607973986e+00 2.157314863810334771e+00 0.000000000000000000e+00
1.410730156008274783e+00 1.821156259186545556e+00 0.000000000000000000e+00
1.462029434408575579e+00 1.322566387673331789e+00 0.000000000000000000e+00
1.513328712808876597e+00 1.962412274693689618e+00 0.000000000000000000e+00
1.564627991209177615e+00 1.065971064904137622e+00 0.000000000000000000e+00
1.615927269609478412e+00 1.276965953468419235e+00 0.000000000000000000e+00
1.667226548009779208e+00 1.329982872833156637e+00 0.000000000000000000e+00
1.718525826410080004e+00 1.399032604099978538e+00 0.000000000000000000e+00
1.769825104810381022e+00 1.758806233929791407e+00 0.000000000000000000e+00
1.821124383210682041e+00 1.901538577708467237e+00 0.000000000000000000e+00
1.872423661610982837e+00 1.798771996665112338e+00 0.000000000000000000e+00
1.923722940011283633e+00 2.193805299955206234e+00 0.000000000000000000e+00
1.975022218411584651e+00 2.118487893339450867e+00 0.000000000000000000e+00
2.026321496811885225e+00 2.171468402938100173e+00 0.000000000000000000e+00
2.077620775212186466e+00 2.485388377496772883e+00 0.000000000000000000e+00
2.128920053612487706e+00 2.686925855475691627e+00 0.000000000000000000e+00
2.180219332012788058e+00 2.226473804483704022e+00 0.000000000000000000e+00
2.231518610413089299e+00 2.241737728476818958e+00 0.000000000000000000e+00
2.282817888813390095e+00 2.156027372872343140e+00 0.000000000000000000e+00
2.334117167213690891e+00 2.195349880126759246e+00 0.000000000000000000e+00
2.385416445613992131e+00 1.987290180853580335e+00 0.000000000000000000e+00
2.436715724014292483e+00 2.063203564770397680e+00 0.000000000000000000e+00
2.488015002414593724e+00 1.733088866484889801e+00 0.000000000000000000e+00
2.539314280814894520e+00 1.888606491008269606e+00 0.000000000000000000e+00
