# measure_times mean_pressure std_pressure
0.000000000000000000e+00 9.787807396879614208e-01 3.064685606525985317e-01
2.000000000000000111e-01 8.922762089360991578e-01 1.516902940340864037e-01
4.000000000000000222e-01 9.006108941785951894e-01 1.965135380902795215e-01
5.999999999999999778e-01 1.006158182212644858e+00 2.522142240032828053e-01
8.000000000000000444e-01 1.097934668866132668e+00 1.653699116463640817e-01
1.000000000000000000e+00 1.019886476570899925e+00 2.593474945691622291e-01
1.199999999999999956e+00 9.816291180173877251e-01 1.548903207031031848e-01
1.400000000000000133e+00 9.197737944398646226e-01 2.021607848938093976e-01
1.600000000000000089e+00 1.131409410116766434e+00 2.000848229983876181e-01
1.800000000000000044e+00 9.989866332844531405e-01 1.746143920874446420e-01
2.000000000000000000e+00 1.030778707946246042e+00 2.055889142589366891e-01
2.200000000000000178e+00 1.101878170003285140e+00 2.446133508391664935e-01
2.399999999999999911e+00 1.035167448472567031e+00 2.291857784612807980e-01
2.600000000000000089e+00 8.974936024592080619e-01 1.358443677041428210e-01
2.800000000000000266e+00 1.008047390224544149e+00 2.092190168517227000e-01
3.000000000000000000e+00 9.105886732234231840e-01 2.132487962173963136e-01
3.200000000000000178e+00 9.411603183352443835e-01 1.887184104969653331e-01
3.399999999999999911e+00 1.129088516132078279e+00 2.390047092678827534e-01
3.600000000000000089e+00 1.012392429067946020e+00 1.836397419153555644e-01
3.800000000000000266e+00 9.900812732143489114e-01 1.698571730251666745e-01
4.000000000000000000e+00 1.062111321814710907e+00 2.621655393274234802e-01
4.200000000000000178e+00 9.544382333620470282e-01 1.781889849802130998e-01
4.400000000000000355e+00 1.028762400087997131e+00 2.154219077554913875e-01
4.600000000000000533e+00 8.962148813087088550e-01 2.308460091620671006e-01
4.799999999999999822e+00 9.862315764080193947e-01 1.876450899085898016e-01
