# simulation_index pressure
0.000000000000000000e+00 9.879184971025739559e-01
1.000000000000000000e+00 8.632826320515555318e-01
2.000000000000000000e+00 1.030770451029394463e+00
3.000000000000000000e+00 1.128211365801500055e+00
4.000000000000000000e+00 1.029758204781305198e+00
5.000000000000000000e+00 9.484654738676011609e-01
6.000000000000000000e+00 9.522034478197217711e-01
7.000000000000000000e+00 1.030412476863859172e+00
8.000000000000000000e+00 1.003064877847779091e+00
9.000000000000000000e+00 1.069227179525356286e+00
