# simulation_index pressure
0.000000000000000000e+00 1.210171249716560871e+00
1.000000000000000000e+00 7.313640539114738548e-01
2.000000000000000000e+00 8.301004892390668743e-01
3.000000000000000000e+00 9.833736965921360262e-01
4.000000000000000000e+00 1.233458729962515044e+00
5.000000000000000000e+00 1.047122928569142131e+00
6.000000000000000000e+00 9.742888956019551960e-01
7.000000000000000000e+00 1.029398166344685173e+00
8.000000000000000000e+00 1.371392715662482553e+00
9.000000000000000000e+00 1.259257084748490518e+00
