# simulation_index pressure
0.000000000000000000e+00 8.961673426469204173e+00
1.000000000000000000e+00 8.862595847827639872e+00
2.000000000000000000e+00 8.594891204313157118e+00
3.000000000000000000e+00 8.983656888705116472e+00
4.000000000000000000e+00 8.748099750565891952e+00
5.000000000000000000e+00 8.932381655692923417e+00
6.000000000000000000e+00 8.699023538278432000e+00
7.000000000000000000e+00 8.643961804351411260e+00
8.000000000000000000e+00 8.758986986837527411e+00
9.000000000000000000e+00 8.901037603074097859e+00
