# simulation_index pressure
0.000000000000000000e+00 8.723029588706078030e+00
1.000000000000000000e+00 8.960022634101132866e+00
2.000000000000000000e+00 8.720357455702265170e+00
3.000000000000000000e+00 8.838244011353648233e+00
4.000000000000000000e+00 8.658954231074673658e+00
5.000000000000000000e+00 9.011376515895364037e+00
6.000000000000000000e+00 8.861157479897187272e+00
7.000000000000000000e+00 9.170632606379527374e+00
8.000000000000000000e+00 8.940315186698718719e+00
9.000000000000000000e+00 8.895506879312181425e+00
