# r_bins corr_mean corr_std
3.556893304490062885e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.067067991347018796e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.778446652245031512e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.489825313143043950e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.201203974041056943e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.912582634939069104e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.623961295837081265e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.335339956735094535e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.046718617633106696e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.758097278531118857e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.469475939429132128e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.180854600327144288e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.892233261225157559e-01 1.762879258892576240e-01 1.576767143603300392e-01
9.603611922123169720e-01 1.481157127670374107e+00 5.440985366952395541e-01
1.031499058302118188e+00 2.528505476859893353e+00 3.468690881488852851e-01
1.102636924391919404e+00 3.210237984455785121e+00 5.593294368296332086e-01
1.173774790481720842e+00 2.731734388779818001e+00 5.615003922129865321e-01
1.244912656571521836e+00 2.608341760606363469e+00 4.942765062467447401e-01
1.316050522661323274e+00 2.422510303719254132e+00 4.173443500315580090e-01
1.387188388751124712e+00 2.252857698535465580e+00 3.960375169419710906e-01
1.458326254840925706e+00 1.992546455619212065e+00 1.970693514144741532e-01
1.529464120930727145e+00 1.906846142663684018e+00 3.711774100664766984e-01
1.600601987020528139e+00 1.833612068662957784e+00 3.467321021785079171e-01
1.671739853110329577e+00 2.015061171889431790e+00 2.266009446800194005e-01
1.742877719200130793e+00 1.987002080124129266e+00 3.642630882152382288e-01
1.814015585289932009e+00 1.935880001234879355e+00 1.978290502696883058e-01
1.885153451379733447e+00 1.874902736184254293e+00 2.716379432476594413e-01
1.956291317469534441e+00 2.046979635325677727e+00 2.147420478473759942e-01
2.027429183559335879e+00 2.014370344302458982e+00 2.570159582516033936e-01
2.098567049649137317e+00 2.104845423663392445e+00 2.939531470240308586e-01
2.169704915738938311e+00 2.004617808166947679e+00 1.632868178378663881e-01
2.240842781828739305e+00 2.059801603203407439e+00 1.938444338782452925e-01
2.311980647918541187e+00 2.148835072969649040e+00 2.873801396270845299e-01
2.383118514008342181e+00 2.130456667296107387e+00 2.802367940571267590e-01
2.454256380098143175e+00 1.957829044611320457e+00 2.237024903496674377e-01
2.525394246187944614e+00 1.971480226543721015e+00 1.956882467703247863e-01
2.596532112277746052e+00 1.980716750350779209e+00 2.313074615106903986e-01
2.667669978367547046e+00 1.992053562548611101e+00 2.403847778753117892e-01
2.738807844457348484e+00 2.010705175959022650e+00 1.702775332463749014e-01
2.809945710547149922e+00 1.986099149028749178e+00 1.816326143512353997e-01
2.881083576636950916e+00 2.016859082009205828e+00 1.162130678948243567e-01
2.952221442726751910e+00 2.003998867208954593e+00 1.996383926151532595e-01
3.023359308816553792e+00 2.035851047250509360e+00 1.114906862906463042e-01
3.094497174906354786e+00 1.934590546198502015e+00 2.193628527615449353e-01
3.165635040996155780e+00 2.096215000592659639e+00 1.897102160146423022e-01
3.236772907085957218e+00 1.906628108013118661e+00 1.087528223815449890e-01
3.307910773175758656e+00 2.094298113668773276e+00 1.158062083886641225e-01
3.379048639265559650e+00 2.000941208673775673e+00 1.405228421120786331e-01
3.450186505355360644e+00 2.014130304293250795e+00 1.313407335352068939e-01
3.521324371445162527e+00 2.007768567226647871e+00 1.208888476483768459e-01
