# r_bins corr_mean corr_std
3.556893304490062885e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.067067991347018796e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.778446652245031512e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.489825313143043950e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.201203974041056943e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.912582634939069104e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.623961295837081265e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.335339956735094535e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.046718617633106696e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.758097278531118857e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.469475939429132128e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.180854600327144288e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.892233261225157559e-01 2.996894740117378997e-01 2.093303137823433191e-01
9.603611922123169720e-01 1.617181761844184607e+00 4.586747915281054744e-01
1.031499058302118188e+00 2.725021446564029670e+00 4.679849932115070499e-01
1.102636924391919404e+00 3.164377441820702686e+00 5.132489344272671561e-01
1.173774790481720842e+00 2.903732479925213994e+00 4.548391743065268722e-01
1.244912656571521836e+00 2.230581919415096870e+00 3.312045859584256124e-01
1.316050522661323274e+00 2.237401542969942092e+00 4.346031774114276214e-01
1.387188388751124712e+00 2.339784683687959443e+00 4.934909079011913224e-01
1.458326254840925706e+00 2.195733758659329293e+00 3.756665781279807659e-01
1.529464120930727145e+00 2.049859603363460181e+00 2.600154452152713680e-01
1.600601987020528139e+00 1.980518673570672350e+00 3.659644131026634217e-01
1.671739853110329577e+00 2.134767776160091390e+00 1.681109627371547566e-01
1.742877719200130793e+00 1.964057483355952316e+00 2.965450440717093405e-01
1.814015585289932009e+00 2.024837287943702879e+00 1.948588185050426080e-01
1.885153451379733447e+00 2.059255097273501534e+00 1.963155546449113775e-01
1.956291317469534441e+00 1.846652446815157944e+00 2.686683879056615543e-01
2.027429183559335879e+00 1.946546426985878098e+00 2.743307680817497207e-01
2.098567049649137317e+00 2.079523974957667498e+00 1.651059913055228090e-01
2.169704915738938311e+00 1.983890593016033765e+00 1.616408209440947930e-01
2.240842781828739305e+00 1.948761085510501534e+00 2.670749523160252936e-01
2.311980647918541187e+00 1.961072785040261834e+00 1.729038700498278236e-01
2.383118514008342181e+00 1.862922362301550283e+00 1.659065602205045398e-01
2.454256380098143175e+00 2.182308261310255126e+00 1.463823381021692738e-01
2.525394246187944614e+00 1.986779962226432827e+00 1.829843375104939218e-01
2.596532112277746052e+00 2.092364667385165244e+00 1.172505491021460511e-01
2.667669978367547046e+00 2.129166393795811629e+00 2.080433595530974122e-01
2.738807844457348484e+00 2.098046343491438925e+00 1.351474695750858879e-01
2.809945710547149922e+00 1.977272041699732696e+00 1.149559172732633056e-01
2.881083576636950916e+00 2.010141816124078940e+00 2.037516826864877173e-01
2.952221442726751910e+00 2.016793752235028769e+00 1.206325109204701845e-01
3.023359308816553792e+00 2.017551262556122271e+00 1.435509603688870373e-01
3.094497174906354786e+00 1.969526718590348224e+00 2.196138621813879532e-01
3.165635040996155780e+00 2.037793613714828034e+00 1.643777540325122299e-01
3.236772907085957218e+00 1.993111588139324208e+00 1.449956239840548555e-01
3.307910773175758656e+00 2.028055107640320376e+00 1.456713497540883806e-01
3.379048639265559650e+00 2.005824530720569321e+00 1.748005914239529057e-01
3.450186505355360644e+00 2.012959298302383182e+00 1.924479854994661232e-01
3.521324371445162527e+00 1.978540133437234116e+00 1.348067502152266173e-01
