# r_bins corr_mean corr_std
2.240702373278582321e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.722107119835746269e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.120351186639291091e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.568491661295007555e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.016632135950724158e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.464772610606440484e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.912913085262156532e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.361053559917873690e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.809194034573589738e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.257334509229306896e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.705474983885022944e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.153615458540738992e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.601755933196455040e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.049896407852172198e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.498036882507889356e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.946177357163605404e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.394317831819321452e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.842458306475037499e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.290598781130754658e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.738739255786471816e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.186879730442187864e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.635020205097903911e-01 1.120272108814914791e+00 2.817744260978773951e-01
1.008316067975361996e+00 7.981925533319163435e+00 3.650329468103101216e-01
1.053130115440933601e+00 1.368146731310077335e+01 4.810294786189110994e-01
1.097944162906505206e+00 7.323915288402105261e+00 5.541773265711339436e-01
1.142758210372077032e+00 1.868103020885298893e+00 2.466028081146398876e-01
1.187572257837648637e+00 1.765075797663001322e-01 7.893658938028270955e-02
1.232386305303220242e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.277200352768791847e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.322014400234363674e+00 2.215626761750939464e-02 3.180967625489113104e-02
1.366828447699935278e+00 2.072721515091378863e-01 7.607025694900550195e-02
1.411642495165506883e+00 9.244123097934426880e-01 1.967055425876177710e-01
1.456456542631078488e+00 2.135796025196775805e+00 2.348332141899932002e-01
1.501270590096650093e+00 2.604164198158030352e+00 2.375743772533119302e-01
1.546084637562221697e+00 1.571354516892537134e+00 1.420749371876041944e-01
1.590898685027793524e+00 5.048912775294895905e-01 1.045704036326014358e-01
1.635712732493365129e+00 8.270216076621206280e-02 2.923962934828429339e-02
1.680526779958936734e+00 7.443267981990878135e-02 4.618675541643577076e-02
1.725340827424508339e+00 8.158036712070344532e-01 1.464306415177724363e-01
1.770154874890080166e+00 3.977494562454908511e+00 1.943648056882018582e-01
1.814968922355651770e+00 7.560282753709778092e+00 4.100971968399205192e-01
1.859782969821223375e+00 6.191124991991909354e+00 3.075974252375249796e-01
1.904597017286794980e+00 2.406421687311838919e+00 2.507471196322805240e-01
1.949411064752366585e+00 3.988546348069146319e-01 8.392562570090099372e-02
1.994225112217938189e+00 2.072568248761156029e-01 5.716594629337115596e-02
2.039039159683509794e+00 1.037801761514467902e+00 8.351565887808226618e-02
2.083853207149081399e+00 2.479017110218634024e+00 8.829542223344485907e-02
2.128667254614653004e+00 2.630889752710182439e+00 1.411366667570773392e-01
2.173481302080224609e+00 1.326749787653635604e+00 1.093559103217158907e-01
2.218295349545796658e+00 4.642824290395329290e-01 8.028970422281690722e-02
