# r_bins corr_mean corr_std
2.240702373278582321e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.722107119835746269e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.120351186639291091e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.568491661295007555e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.016632135950724158e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.464772610606440484e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.912913085262156532e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.361053559917873690e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.809194034573589738e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.257334509229306896e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.705474983885022944e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.153615458540738992e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.601755933196455040e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.049896407852172198e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.498036882507889356e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.946177357163605404e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.394317831819321452e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.842458306475037499e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.290598781130754658e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.738739255786471816e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.186879730442187864e-01 1.310885826065270876e-02 2.621771652130542099e-02
9.635020205097903911e-01 1.126231003010738752e+00 1.873975117674134272e-01
1.008316067975361996e+00 8.047217357722592723e+00 2.821453902188654217e-01
1.053130115440933601e+00 1.337222525206823676e+01 4.665369844115109799e-01
1.097944162906505206e+00 7.516649901254791821e+00 5.042802710333132987e-01
1.142758210372077032e+00 1.859630898341601890e+00 3.144116425636977463e-01
1.187572257837648637e+00 1.882747517507201152e-01 9.735117604193260776e-02
1.232386305303220242e+00 1.456925007349236731e-02 1.784361430753131014e-02
1.277200352768791847e+00 3.391195865829056081e-03 1.017358759748716694e-02
1.322014400234363674e+00 1.266072435286251172e-02 1.550615721927095687e-02
1.366828447699935278e+00 2.516876125468102687e-01 1.036360757545689432e-01
1.411642495165506883e+00 9.993646592361544734e-01 1.711249305407686327e-01
1.456456542631078488e+00 1.987150880586010526e+00 2.009198375335860542e-01
1.501270590096650093e+00 2.606618641323117380e+00 2.562043666041522449e-01
1.546084637562221697e+00 1.557469204519407624e+00 1.514178299912301573e-01
1.590898685027793524e+00 5.223766897383030905e-01 1.036526991487202037e-01
1.635712732493365129e+00 9.924259291945447536e-02 4.415087210564599962e-02
1.680526779958936734e+00 9.206147240883455485e-02 3.617072786498160691e-02
1.725340827424508339e+00 8.808449661779823581e-01 1.415744349656094248e-01
1.770154874890080166e+00 3.929828182878218890e+00 2.077204229399923219e-01
1.814968922355651770e+00 7.469599664260573313e+00 3.068879060222612365e-01
1.859782969821223375e+00 6.194323713248427232e+00 3.509895194793556938e-01
1.904597017286794980e+00 2.433871364353418887e+00 2.082256762286535945e-01
1.949411064752366585e+00 4.090443517545365171e-01 1.206454196535479695e-01
1.994225112217938189e+00 2.475954015298563182e-01 6.245508964486157916e-02
2.039039159683509794e+00 1.069734123407220849e+00 8.749085153245089730e-02
2.083853207149081399e+00 2.467551974559863304e+00 1.287903675144035087e-01
2.128667254614653004e+00 2.619902278104896176e+00 1.692689318999868187e-01
2.173481302080224609e+00 1.268199488110227424e+00 9.354131894821762772e-02
2.218295349545796658e+00 5.429743661648774866e-01 9.064049722974693024e-02
