# simulation_index pressure
0.000000000000000000e+00 1.127875583435553164e+00
1.000000000000000000e+00 9.450504419621080787e-01
2.000000000000000000e+00 1.143094654740497207e+00
3.000000000000000000e+00 1.444273332373162688e+00
4.000000000000000000e+00 1.103973946480026225e+00
5.000000000000000000e+00 5.570482825237208502e-01
6.000000000000000000e+00 8.549409907579887946e-01
7.000000000000000000e+00 8.394842875868342436e-01
8.000000000000000000e+00 9.621326307293037727e-01
9.000000000000000000e+00 9.118063245857771504e-01
