# simulation_index pressure
0.000000000000000000e+00 8.713199949478076078e+00
1.000000000000000000e+00 8.844601069255265458e+00
2.000000000000000000e+00 9.035656547260776605e+00
3.000000000000000000e+00 8.837820397255478966e+00
4.000000000000000000e+00 8.910886055904416736e+00
5.000000000000000000e+00 8.889683726529414187e+00
6.000000000000000000e+00 8.802202500615711855e+00
7.000000000000000000e+00 8.701834983732583240e+00
8.000000000000000000e+00 8.907265563833083988e+00
9.000000000000000000e+00 9.102319545026546166e+00
