# r_bins corr_mean corr_std
2.564963920015045015e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.694891760045134699e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.282481960007522404e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.795474744010531476e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.308467528013540271e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.821460312016549343e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.334453096019558416e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.847445880022567488e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.360438664025576561e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.873431448028585633e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.386424232031594705e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.899417016034602668e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.412409800037612850e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.925402584040620813e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.438395368043630995e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.951388152046638957e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.464380936049649140e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.977373720052657102e-01 3.597712773250156398e-02 5.966131686169872522e-02
9.490366504055667285e-01 5.794709032152367545e-01 2.514340241130077480e-01
1.000335928805867525e+00 2.839614848314801154e+00 4.556186709506211963e-01
1.051635207206168321e+00 4.850277556441503712e+00 4.852048700395529268e-01
1.102934485606469339e+00 5.291498045891723123e+00 4.941213375018171927e-01
1.154233764006770357e+00 4.298378439892391434e+00 5.758197667239020046e-01
1.205533042407071154e+00 3.561271477052114331e+00 3.132386349641797518e-01
1.256832320807371950e+00 2.748762692827606546e+00 3.182275783641660416e-01
1.308131599207672968e+00 2.092614268293282898e+00 1.828879901586465129e-01
1.359430877607973986e+00 1.898437080153094314e+00 2.444502337464870279e-01
1.410730156008274783e+00 1.642682945786263726e+00 2.182046170182791733e-01
1.462029434408575579e+00 1.359869542197451375e+00 1.712134158343340262e-01
1.513328712808876597e+00 1.316715332697701246e+00 1.545438359486903390e-01
1.564627991209177615e+00 1.400567538054603212e+00 2.561077630261906490e-01
1.615927269609478412e+00 1.257533862872160624e+00 2.066405559656172564e-01
1.667226548009779208e+00 1.272611062632510670e+00 1.170903585980942879e-01
1.718525826410080004e+00 1.573298068821204154e+00 2.504133535336533489e-01
1.769825104810381022e+00 1.726407171725821588e+00 1.563425610485619233e-01
1.821124383210682041e+00 1.890610195077959244e+00 7.955982646220587096e-02
1.872423661610982837e+00 1.982784304369934247e+00 1.400605714893836951e-01
1.923722940011283633e+00 2.211434092544132035e+00 1.540956219436922237e-01
1.975022218411584651e+00 2.408386236638533795e+00 2.267153710415904244e-01
2.026321496811885225e+00 2.323294648997186851e+00 1.637565212085086708e-01
2.077620775212186466e+00 2.482029744554209660e+00 1.884728829296143382e-01
2.128920053612487706e+00 2.434226876210716206e+00 2.289712509824287368e-01
2.180219332012788058e+00 2.325597638244965015e+00 1.005216536510789710e-01
2.231518610413089299e+00 2.289774965515607885e+00 2.061770726813405008e-01
2.282817888813390095e+00 2.157418358274196368e+00 1.707516026551759714e-01
2.334117167213690891e+00 2.026374465110942324e+00 2.003783979807539639e-01
2.385416445613992131e+00 1.887925671810901207e+00 1.226922295079504177e-01
2.436715724014292483e+00 1.848337394711468962e+00 1.874839556589412704e-01
2.488015002414593724e+00 1.833795381699551807e+00 1.393644727113564630e-01
2.539314280814894520e+00 1.843639669793786906e+00 8.576176070584679012e-02
