# r_bins corr_mean corr_std
2.240702373278582321e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.722107119835746269e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.120351186639291091e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.568491661295007555e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.016632135950724158e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.464772610606440484e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.912913085262156532e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.361053559917873690e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.809194034573589738e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.257334509229306896e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.705474983885022944e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.153615458540738992e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.601755933196455040e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.049896407852172198e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.498036882507889356e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.946177357163605404e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.394317831819321452e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.842458306475037499e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.290598781130754658e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.738739255786471816e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.186879730442187864e-01 6.554429130326354380e-03 1.966328739097905967e-02
9.635020205097903911e-01 1.090477637835794544e+00 2.047814543940116583e-01
1.008316067975361996e+00 8.281179728501545156e+00 4.220184826859539884e-01
1.053130115440933601e+00 1.318268979530635931e+01 5.017860483368072888e-01
1.097944162906505206e+00 7.420282594828447209e+00 3.894097587206246658e-01
1.142758210372077032e+00 1.893519388516391455e+00 2.109966768938882353e-01
1.187572257837648637e+00 2.471106116728201685e-01 9.615858905594004691e-02
1.232386305303220242e+00 1.456925007349236731e-02 1.784361430753131014e-02
1.277200352768791847e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.322014400234363674e+00 2.848662979394065570e-02 2.629196875782893739e-02
1.366828447699935278e+00 2.457655510751206029e-01 9.274220539357481974e-02
1.411642495165506883e+00 1.013244723947767545e+00 9.795038836395114634e-02
1.456456542631078488e+00 2.083639834105279309e+00 2.014775502301171251e-01
1.501270590096650093e+00 2.439716506097155957e+00 2.024580886736633001e-01
1.546084637562221697e+00 1.504242173755742762e+00 1.403874589695895125e-01
1.590898685027793524e+00 6.032467212040654170e-01 6.498483499285589993e-02
1.635712732493365129e+00 1.116479170343862987e-01 6.551243195465836222e-02
1.680526779958936734e+00 1.096902649977603145e-01 5.197163602174643265e-02
1.725340827424508339e+00 9.440279384354749448e-01 1.153957057828544769e-01
1.770154874890080166e+00 3.972198298057499244e+00 2.069387251322711285e-01
1.814968922355651770e+00 7.415861537179561758e+00 2.965503620524188033e-01
1.859782969821223375e+00 6.077570387385495820e+00 3.063934189658753526e-01
1.904597017286794980e+00 2.432346382295552445e+00 1.766940320616377236e-01
1.949411064752366585e+00 4.803723703878898799e-01 8.926023023025810021e-02
1.994225112217938189e+00 2.628962409502406672e-01 4.462007126199358381e-02
2.039039159683509794e+00 1.075056183722679970e+00 1.018170089744618173e-01
2.083853207149081399e+00 2.472647590408205254e+00 1.314592353654598644e-01
2.128667254614653004e+00 2.479506769259573140e+00 1.479624419722770090e-01
2.173481302080224609e+00 1.375932039270099105e+00 8.813716440087798754e-02
2.218295349545796658e+00 5.609610946506705664e-01 9.689410943877962978e-02
