# simulation_index pressure
0.000000000000000000e+00 8.904731172925904659e+00
1.000000000000000000e+00 8.713835680075611378e+00
2.000000000000000000e+00 8.816862857141696708e+00
3.000000000000000000e+00 8.969290814617313146e+00
4.000000000000000000e+00 9.031832569296589952e+00
5.000000000000000000e+00 8.806113206342285338e+00
6.000000000000000000e+00 8.752222944643065716e+00
7.000000000000000000e+00 8.690525377037632282e+00
8.000000000000000000e+00 9.026752826243246375e+00
9.000000000000000000e+00 9.084637115344651903e+00
1.000000000000000000e+01 8.748681277542385004e+00
1.100000000000000000e+01 8.654698174616592965e+00
1.200000000000000000e+01 8.790588558663845475e+00
1.300000000000000000e+01 8.831545752595710397e+00
1.400000000000000000e+01 8.783949897117024008e+00
1.500000000000000000e+01 8.830820706534280973e+00
1.600000000000000000e+01 8.949904816806222740e+00
1.700000000000000000e+01 8.940166018167660766e+00
1.800000000000000000e+01 9.042677110773672311e+00
1.900000000000000000e+01 8.936960403853973389e+00
2.000000000000000000e+01 8.680570782474788416e+00
2.100000000000000000e+01 9.126660858744674698e+00
2.200000000000000000e+01 8.715605606532964345e+00
2.300000000000000000e+01 8.293477441548706253e+00
2.400000000000000000e+01 8.762046778926713131e+00
2.500000000000000000e+01 8.762564949848670182e+00
2.600000000000000000e+01 8.761525091615906646e+00
2.700000000000000000e+01 8.827029147405044185e+00
2.800000000000000000e+01 8.898487812776266992e+00
2.900000000000000000e+01 8.534008344764922427e+00
3.000000000000000000e+01 9.100709293019303203e+00
3.100000000000000000e+01 8.927248957406945351e+00
3.200000000000000000e+01 8.956150444245761122e+00
3.300000000000000000e+01 9.001836785230493021e+00
3.400000000000000000e+01 8.613540264371989608e+00
3.500000000000000000e+01 8.841851033070005528e+00
3.600000000000000000e+01 8.853578062241892255e+00
3.700000000000000000e+01 9.015942686466813072e+00
3.800000000000000000e+01 9.037970457773127464e+00
3.900000000000000000e+01 9.112268278495829321e+00
4.000000000000000000e+01 9.059516208844954122e+00
4.100000000000000000e+01 8.922716397877618277e+00
4.200000000000000000e+01 9.260558612567834302e+00
4.300000000000000000e+01 8.731627393443670115e+00
4.400000000000000000e+01 8.789865084502384462e+00
4.500000000000000000e+01 8.669902466146348630e+00
4.600000000000000000e+01 9.051054275921133652e+00
4.700000000000000000e+01 8.797050957110538860e+00
4.800000000000000000e+01 8.788657974209858281e+00
4.900000000000000000e+01 9.142081677481622037e+00
