# simulation_index pressure
0.000000000000000000e+00 8.606636218866817956e+00
1.000000000000000000e+00 8.907331871948429125e+00
2.000000000000000000e+00 9.087281100072891249e+00
3.000000000000000000e+00 8.973660009645401558e+00
4.000000000000000000e+00 8.544907501987720977e+00
5.000000000000000000e+00 8.662125105016130533e+00
6.000000000000000000e+00 8.577201825160029713e+00
7.000000000000000000e+00 8.632657344442938196e+00
8.000000000000000000e+00 8.663836686391213959e+00
9.000000000000000000e+00 8.672407524581275950e+00
