# simulation_index pressure
0.000000000000000000e+00 9.939373846445582750e-01
1.000000000000000000e+00 9.034483037209152245e-01
2.000000000000000000e+00 1.076042508980116219e+00
3.000000000000000000e+00 7.879933696455717618e-01
4.000000000000000000e+00 9.101118127273797320e-01
5.000000000000000000e+00 9.615420815369688512e-01
6.000000000000000000e+00 1.022539845276915660e+00
7.000000000000000000e+00 9.511412612278308254e-01
8.000000000000000000e+00 1.083198916004529666e+00
9.000000000000000000e+00 1.005046707290627284e+00
