# r_bins corr_mean corr_std
3.556893304490062885e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.067067991347018796e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.778446652245031512e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.489825313143043950e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.201203974041056943e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.912582634939069104e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.623961295837081265e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.335339956735094535e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.046718617633106696e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.758097278531118857e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.469475939429132128e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.180854600327144288e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.892233261225157559e-01 2.996894740117378997e-01 1.771671728692416625e-01
9.603611922123169720e-01 1.511384824153443329e+00 4.327947493996079364e-01
1.031499058302118188e+00 2.567808670800720172e+00 9.450944952612057026e-01
1.102636924391919404e+00 3.152912306161931522e+00 5.692298414844796373e-01
1.173774790481720842e+00 2.691264249686784016e+00 6.909617023526577473e-01
1.244912656571521836e+00 2.707278861870742404e+00 5.462869479861306443e-01
1.316050522661323274e+00 2.181064094046238466e+00 4.173443500315580090e-01
1.387188388751124712e+00 2.194906375100469820e+00 3.750781613413392557e-01
1.458326254840925706e+00 2.182624900398676182e+00 3.290950082071902871e-01
1.529464120930727145e+00 2.031982920775988521e+00 2.684149478980705217e-01
1.600601987020528139e+00 1.920667834534196317e+00 3.200946073008621995e-01
1.671739853110329577e+00 2.094865574736538338e+00 2.899781132135993422e-01
1.742877719200130793e+00 1.991590999477764301e+00 3.059126601287522895e-01
1.814015585289932009e+00 1.838450591982358162e+00 2.298429229953244113e-01
1.885153451379733447e+00 1.839601220230994816e+00 2.452356937544829529e-01
1.956291317469534441e+00 2.032410385252185758e+00 3.037784718990064192e-01
2.027429183559335879e+00 1.936372839388390332e+00 2.814692568638115788e-01
2.098567049649137317e+00 2.028881077546217604e+00 2.619462257389560400e-01
2.169704915738938311e+00 2.102331822449827303e+00 8.375059650470671746e-02
2.240842781828739305e+00 2.190274211492572398e+00 1.753288986372642799e-01
2.311980647918541187e+00 2.161874120742522720e+00 1.731593399067918870e-01
2.383118514008342181e+00 2.022461168032248402e+00 2.595682441039751098e-01
2.454256380098143175e+00 1.960143263340175634e+00 1.768674877591325800e-01
2.525394246187944614e+00 2.015193757065754987e+00 1.462281302634403368e-01
2.596532112277746052e+00 2.053081141021214417e+00 2.319073143002558790e-01
2.667669978367547046e+00 2.001847336209125583e+00 1.948542586521985476e-01
2.738807844457348484e+00 2.014421821385933953e+00 2.062989321342266757e-01
2.809945710547149922e+00 1.913716868930812609e+00 1.323948399356768557e-01
2.881083576636950916e+00 1.833813586639511328e+00 1.330374816210238287e-01
2.952221442726751910e+00 2.019992473491547536e+00 1.560585916425361042e-01
3.023359308816553792e+00 2.124300006606711033e+00 1.677549579586253281e-01
3.094497174906354786e+00 1.989906152485592328e+00 2.206726658666049723e-01
3.165635040996155780e+00 2.003018978668499983e+00 1.369961742722563547e-01
3.236772907085957218e+00 1.970492831798624112e+00 1.455622413931870196e-01
3.307910773175758656e+00 2.014042164057378237e+00 1.102423858607939205e-01
3.379048639265559650e+00 1.980187089974901893e+00 1.436020539039560839e-01
3.450186505355360644e+00 1.957922016731578951e+00 1.124165751233442007e-01
3.521324371445162527e+00 1.994278520862303283e+00 1.076154773745376658e-01
