# r_bins corr_mean corr_std
3.556893304490062885e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.067067991347018796e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.778446652245031512e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.489825313143043950e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.201203974041056943e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.912582634939069104e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.623961295837081265e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.335339956735094535e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.046718617633106696e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.758097278531118857e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.469475939429132128e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.180854600327144288e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.892233261225157559e-01 2.644318888338865192e-01 2.875169060875112925e-02
9.603611922123169720e-01 1.583931295712808662e+00 6.935790902142276171e-02
1.031499058302118188e+00 2.766944853434245566e+00 7.509001806094077469e-02
1.102636924391919404e+00 2.907558403064240959e+00 6.564308328272473736e-02
1.173774790481720842e+00 2.895638452106606309e+00 7.960847721558254875e-02
1.244912656571521836e+00 2.638922319178989451e+00 6.098149682406409783e-02
1.316050522661323274e+00 2.391927117160670413e+00 5.220997862045707177e-02
1.387188388751124712e+00 2.261550397050715144e+00 4.810701634666295079e-02
1.458326254840925706e+00 2.212775274398177228e+00 4.389256063506825206e-02
1.529464120930727145e+00 2.031982920775988521e+00 4.644116097869330217e-02
1.600601987020528139e+00 1.946784564295567455e+00 4.830639062505137638e-02
1.671739853110329577e+00 1.940244544220269818e+00 4.840455285856799100e-02
1.742877719200130793e+00 1.960386347873042334e+00 4.159576328803259865e-02
1.814015585289932009e+00 1.884200053718324774e+00 3.866185151234610012e-02
1.885153451379733447e+00 1.959626374472077437e+00 3.622148853523637912e-02
1.956291317469534441e+00 1.886717884517263188e+00 3.447713832588431698e-02
2.027429183559335879e+00 2.024543931899946081e+00 3.004607192184465328e-02
2.098567049649137317e+00 2.034578403505005628e+00 3.216721077186429634e-02
2.169704915738938311e+00 2.031267084789551536e+00 4.362272645262785936e-02
2.240842781828739305e+00 2.016495801303173963e+00 3.087006276093683804e-02
2.311980647918541187e+00 2.045565814608486299e+00 3.148575560267116019e-02
2.383118514008342181e+00 2.034242495224670044e+00 2.957285224670977430e-02
2.454256380098143175e+00 2.034661106409306086e+00 3.184445698441503575e-02
2.525394246187944614e+00 2.006013915656127633e+00 2.540121003527434640e-02
2.596532112277746052e+00 2.051013587002058713e+00 2.950161234686503667e-02
2.667669978367547046e+00 1.950527962228030487e+00 3.096116558371918639e-02
2.738807844457348484e+00 2.034120042148563900e+00 2.485549526606688556e-02
2.809945710547149922e+00 1.999869436462015537e+00 2.152389803578138791e-02
2.881083576636950916e+00 2.010813542712591495e+00 2.860486770009474516e-02
2.952221442726751910e+00 1.944822523963359195e+00 2.458233414462461172e-02
3.023359308816553792e+00 1.997726495803869629e+00 2.190035647859812917e-02
3.094497174906354786e+00 2.007374238681515433e+00 2.345849007939473582e-02
3.165635040996155780e+00 2.017763423928143673e+00 1.991164386716209531e-02
3.236772907085957218e+00 2.018657477653527099e+00 2.561243945931733837e-02
3.307910773175758656e+00 1.997481412550264679e+00 2.121576043060204031e-02
3.379048639265559650e+00 2.004603700208871242e+00 2.383841562035336759e-02
3.450186505355360644e+00 2.012725097104209215e+00 1.504235480612832465e-02
3.521324371445162527e+00 2.002822216893054730e+00 2.016590228103816093e-02
