# simulation_index pressure
0.000000000000000000e+00 8.693775135459744785e-01
1.000000000000000000e+00 9.359472841323562831e-01
2.000000000000000000e+00 9.947657888755212507e-01
3.000000000000000000e+00 8.819257748896769389e-01
4.000000000000000000e+00 1.141009182871803196e+00
5.000000000000000000e+00 9.231625080008322159e-01
6.000000000000000000e+00 9.505981036440400711e-01
7.000000000000000000e+00 9.106948891917925337e-01
8.000000000000000000e+00 1.114756619887069311e+00
9.000000000000000000e+00 9.152046396959758745e-01
