# measure_times mean_pressure std_pressure
0.000000000000000000e+00 9.668475439698722695e-01 3.083394102684641411e-02
2.000000000000000111e-01 1.062029826105225006e+00 3.787496583043940129e-02
4.000000000000000222e-01 9.658457526990392727e-01 1.924177927814312711e-02
5.999999999999999778e-01 9.350775873141909944e-01 2.905380010200252217e-02
8.000000000000000444e-01 9.964556338164282101e-01 2.830382837220187311e-02
1.000000000000000000e+00 9.301742014127144520e-01 2.871523148436255432e-02
1.199999999999999956e+00 9.372049284804739866e-01 2.466830543459324482e-02
1.400000000000000133e+00 9.875646550343699648e-01 2.453056772078565997e-02
1.600000000000000089e+00 9.667400925034881354e-01 3.528248237029644324e-02
1.800000000000000044e+00 9.871190625118206885e-01 2.560427873358327167e-02
2.000000000000000000e+00 9.350700621012381086e-01 2.373727665051108410e-02
2.200000000000000178e+00 9.058892788342103319e-01 2.147886902634622841e-02
2.399999999999999911e+00 9.427887144511200024e-01 2.315127915026537336e-02
2.600000000000000089e+00 9.091424555771631111e-01 2.895325974122819196e-02
2.800000000000000266e+00 9.843148680983471177e-01 2.247261649437478151e-02
3.000000000000000000e+00 9.358193373313694607e-01 2.808545059395958776e-02
3.200000000000000178e+00 9.660852017630487953e-01 2.457298507777927812e-02
3.399999999999999911e+00 9.770045791632553378e-01 2.116197037560415412e-02
3.600000000000000089e+00 9.755617743296257638e-01 2.079006847146530612e-02
3.800000000000000266e+00 9.239526224184382297e-01 3.595319926996615872e-02
4.000000000000000000e+00 9.303794299336338725e-01 3.241219050785000555e-02
4.200000000000000178e+00 9.531031925950896877e-01 2.277463243984107280e-02
4.400000000000000355e+00 9.724282563279244007e-01 2.104358484542473082e-02
4.600000000000000533e+00 9.542539675551371392e-01 3.285429794663389386e-02
4.799999999999999822e+00 1.009292574935890974e+00 2.134965745213261712e-02
