# r_bins corr_mean corr_std
3.556893304490062885e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.067067991347018796e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.778446652245031512e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.489825313143043950e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.201203974041056943e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.912582634939069104e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.623961295837081265e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.335339956735094535e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.046718617633106696e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.758097278531118857e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.469475939429132128e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.180854600327144288e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.892233261225157559e-01 3.525758517785152479e-01 5.574713697970182236e-02
9.603611922123169720e-01 1.556726368878046607e+00 1.228784676538717952e-01
1.031499058302118188e+00 2.672617187976260134e+00 1.530078718958310102e-01
1.102636924391919404e+00 3.382215019337345474e+00 1.237491317384598333e-01
1.173774790481720842e+00 2.691264249686783572e+00 1.297255773762564235e-01
1.244912656571521836e+00 2.536387505141359799e+00 1.761593892874875333e-01
1.316050522661323274e+00 2.422510303719254576e+00 8.084342797102368749e-02
1.387188388751124712e+00 2.187662459671095405e+00 7.788472457716388853e-02
1.458326254840925706e+00 2.208842616919981516e+00 1.433158566224248531e-01
1.529464120930727145e+00 2.157119698888292803e+00 9.820431193209398779e-02
1.600601987020528139e+00 1.915226849167244172e+00 1.181583604473876031e-01
1.671739853110329577e+00 1.805574614415778045e+00 7.011328891302572031e-02
1.742877719200130793e+00 1.840156660807795941e+00 8.296938781677268282e-02
1.814015585289932009e+00 2.003656981584459373e+00 6.961847813764131254e-02
1.885153451379733447e+00 1.953350549413721549e+00 5.541548195984732222e-02
1.956291317469534441e+00 1.868506321925396563e+00 6.434637576643552348e-02
2.027429183559335879e+00 2.031326323631604147e+00 9.452255118850340365e-02
2.098567049649137317e+00 2.070028431693020643e+00 4.547297923707261519e-02
2.169704915738938311e+00 2.022383992582017065e+00 7.045137811880977652e-02
2.240842781828739305e+00 1.990401279645341193e+00 5.238506334348803223e-02
2.311980647918541187e+00 1.966288404149411750e+00 6.250044187469372403e-02
2.383118514008342181e+00 2.007734509041723570e+00 6.482704355784235650e-02
2.454256380098143175e+00 2.036512481392390495e+00 7.383772257344413392e-02
2.525394246187944614e+00 2.082949729374907299e+00 9.169688010652859989e-02
2.596532112277746052e+00 1.962108764178381204e+00 5.250528905080487085e-02
2.667669978367547046e+00 2.068444997100622906e+00 9.006864593504199101e-02
2.738807844457348484e+00 1.936372267420796600e+00 6.289811606792895804e-02
2.809945710547149922e+00 1.984333727562945793e+00 5.567099208194909582e-02
2.881083576636950916e+00 2.057162677319964494e+00 4.183150026654949838e-02
2.952221442726751910e+00 1.957617408989433816e+00 5.745245323369037316e-02
3.023359308816553792e+00 2.006876388151063395e+00 4.362621590904734725e-02
3.094497174906354786e+00 2.080157931164529295e+00 4.025931773082697812e-02
3.165635040996155780e+00 2.001627993266647199e+00 6.608132317120687937e-02
3.236772907085957218e+00 2.009077769085700460e+00 5.275286750154661169e-02
3.307910773175758656e+00 2.076463458199574230e+00 5.171485270219357278e-02
3.379048639265559650e+00 2.008266191743966367e+00 3.724033367442475956e-02
3.450186505355360644e+00 2.017643322265855410e+00 3.953944689096055426e-02
3.521324371445162527e+00 2.068473775866199293e+00 6.099596395376375574e-02
