# simulation_index pressure
0.000000000000000000e+00 7.718319965976186969e-01
1.000000000000000000e+00 1.161902945440153267e+00
2.000000000000000000e+00 7.017840943375682761e-01
3.000000000000000000e+00 8.094533038820573845e-01
4.000000000000000000e+00 1.185828637391572737e+00
5.000000000000000000e+00 8.261341138370994486e-01
6.000000000000000000e+00 1.155161375314562866e+00
7.000000000000000000e+00 9.114397068768644861e-01
8.000000000000000000e+00 8.871323883799606680e-01
9.000000000000000000e+00 8.486090018991755413e-01
1.000000000000000000e+01 9.631403179345154886e-01
1.100000000000000000e+01 1.109631563189865222e+00
1.200000000000000000e+01 9.469262532824900269e-01
1.300000000000000000e+01 9.313650352906281960e-01
1.400000000000000000e+01 1.098113610233172777e+00
1.500000000000000000e+01 7.744901933163819141e-01
1.600000000000000000e+01 8.281607773979975384e-01
1.700000000000000000e+01 1.125386037310968979e+00
1.800000000000000000e+01 1.267582453924844366e+00
1.900000000000000000e+01 1.121735744756024555e+00
2.000000000000000000e+01 8.551908820326800109e-01
2.100000000000000000e+01 9.796099208009851900e-01
2.200000000000000000e+01 8.425377533260173246e-01
2.300000000000000000e+01 1.526063302324239146e+00
2.400000000000000000e+01 7.447553652714737904e-01
2.500000000000000000e+01 9.645331335806962558e-01
2.600000000000000000e+01 6.927978971351752557e-01
2.700000000000000000e+01 1.005287069650874887e+00
2.800000000000000000e+01 7.726730981291872746e-01
2.900000000000000000e+01 1.164365338122431925e+00
3.000000000000000000e+01 1.411379420647962402e+00
3.100000000000000000e+01 5.792826550863352519e-01
3.200000000000000000e+01 1.173929833380857435e+00
3.300000000000000000e+01 8.373258948873788521e-01
3.400000000000000000e+01 1.145100409545464659e+00
3.500000000000000000e+01 9.443172105005538386e-01
3.600000000000000000e+01 1.071778072264311099e+00
3.700000000000000000e+01 9.517492932643804027e-01
3.800000000000000000e+01 1.045903394022087207e+00
3.900000000000000000e+01 7.151761861805679965e-01
4.000000000000000000e+01 6.825970801248756326e-01
4.100000000000000000e+01 9.425591686347319920e-01
4.200000000000000000e+01 9.971063785353130315e-01
4.300000000000000000e+01 6.678849065781159444e-01
4.400000000000000000e+01 9.735791101036684880e-01
4.500000000000000000e+01 1.343373148670310657e+00
4.600000000000000000e+01 1.436819294070333486e+00
4.700000000000000000e+01 9.793827620015910229e-01
4.800000000000000000e+01 1.237728762820000661e+00
4.900000000000000000e+01 9.937709470042697113e-01
