# r_bins corr_mean corr_std corr_sem
2.240702373278582321e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.722107119835746269e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.120351186639291091e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.568491661295007555e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.016632135950724158e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.464772610606440484e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.912913085262156532e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.361053559917873690e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.809194034573589738e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.257334509229306896e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.705474983885022944e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.153615458540738992e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.601755933196455040e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.049896407852172198e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.498036882507889356e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.946177357163605404e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.394317831819321452e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.842458306475037499e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.290598781130754658e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.738739255786471816e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.186879730442187864e-01 1.638607282581588664e-01 3.277214565163177884e-02 2.317340642430205586e-02
9.635020205097903911e-01 2.562324504204326558e+00 5.958894195824027129e-02 4.213574494240328316e-02
1.008316067975361996e+00 8.052658343089545312e+00 2.720492683476192219e-01 1.923678824654403152e-01
1.053130115440933601e+00 1.117261639859487232e+01 4.987775177944175908e-02 3.526889651358264960e-02
1.097944162906505206e+00 6.630988466003158166e+00 2.065013709135929965e-01 1.460185196973200761e-01
1.142758210372077032e+00 2.816980745779419149e+00 6.354091907773140591e-02 4.493021476268953956e-02
1.187572257837648637e+00 6.079705525283671808e-01 9.805976653683340372e-02 6.933872587976458446e-02
1.232386305303220242e+00 1.639040633267891678e-01 5.463468777559638695e-02 3.863255821413397184e-02
1.277200352768791847e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.322014400234363674e+00 1.107813380875469766e-01 1.582590544107814051e-02 1.119060505580343236e-02
1.366828447699935278e+00 3.849339956598274992e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.411642495165506883e+00 1.054884918082607426e+00 1.388006471161325472e-01 9.814687880889833016e-02
1.456456542631078488e+00 1.942818118158238905e+00 6.519523886437039728e-02 4.609999550207305452e-02
1.501270590096650093e+00 2.123093337800844527e+00 2.086276690324530003e-01 1.475220395159901887e-01
1.546084637562221697e+00 1.515813267400017761e+00 3.471328093282488592e-02 2.454599634483415824e-02
1.590898685027793524e+00 6.557029578305058060e-01 6.557029578305056949e-02 4.636520079260273569e-02
1.635712732493365129e+00 2.894575626817422198e-01 6.202662057465903322e-02 4.385944402242642620e-02
1.680526779958936734e+00 2.938132098154294103e-01 1.958754732102863105e-02 1.385048753751173638e-02
1.725340827424508339e+00 1.533116238600918946e+00 4.645806783639150339e-02 3.285081480793706349e-02
1.770154874890080166e+00 4.219357303269966053e+00 1.235795026062329605e-01 8.738390430852793767e-02
1.814968922355651770e+00 5.919590561267652262e+00 1.427419000589362774e-01 1.009337654911262872e-01
1.859782969821223375e+00 5.517794167494725954e+00 4.798081884778016004e-02 3.392756237414865789e-02
1.904597017286794980e+00 2.790717165893957130e+00 1.677480263652106895e-01 1.186157669735002362e-01
1.949411064752366585e+00 9.607447407757796487e-01 7.278369248301358452e-02 5.146584251453524550e-02
1.994225112217938189e+00 6.676729928894999944e-01 1.390985401853123138e-02 9.835752101818381540e-03
2.039039159683509794e+00 1.157548118612291344e+00 6.652575394323523295e-02 4.704081173680933065e-02
2.083853207149081399e+00 2.191114814787281873e+00 5.095615848342505139e-02 3.603144520684627150e-02
2.128667254614653004e+00 2.160870005706274632e+00 8.545813581889238897e-02 6.042802734509979817e-02
2.173481302080224609e+00 1.416917248950485098e+00 2.342011981736336068e-02 1.656052553905907818e-02
2.218295349545796658e+00 8.487487504233590663e-01 1.180379056880168087e-01 8.346540354905482295e-02
