# r_bins corr_mean corr_std
2.564963920015045015e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.694891760045134699e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.282481960007522404e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.795474744010531476e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.308467528013540271e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.821460312016549343e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.334453096019558416e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.847445880022567488e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.360438664025576561e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.873431448028585633e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.386424232031594705e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.899417016034602668e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.412409800037612850e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.925402584040620813e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.438395368043630995e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.951388152046638957e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.464380936049649140e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.977373720052657102e-01 8.994281933125390996e-03 8.532725047913546079e-03
9.490366504055667285e-01 5.714226962261361731e-01 7.415714176177230776e-02
1.000335928805867525e+00 2.941029664326043847e+00 5.902791063270438482e-02
1.051635207206168321e+00 4.968257280787377717e+00 1.060116860743263861e-01
1.102934485606469339e+00 4.993553336100523765e+00 1.569351462792213936e-01
1.154233764006770357e+00 4.472489971634869832e+00 1.624660373254625811e-01
1.205533042407071154e+00 3.476479299027064318e+00 1.454259393367665354e-01
1.256832320807371950e+00 2.813007563778501918e+00 8.683855455220407249e-02
1.308131599207672968e+00 2.033309410487400548e+00 7.530187229570568797e-02
1.359430877607973986e+00 1.710162328402374143e+00 9.926051128307243621e-02
1.410730156008274783e+00 1.500632757569713593e+00 7.654057823552955220e-02
1.462029434408575579e+00 1.502299768562271653e+00 4.474579820064045893e-02
1.513328712808876597e+00 1.418001127520601479e+00 4.775124409588335506e-02
1.564627991209177615e+00 1.447944029828120316e+00 7.401984609774756030e-02
1.615927269609478412e+00 1.257533862872160846e+00 6.686100792863096387e-02
1.667226548009779208e+00 1.442118683679873614e+00 6.760717979088756713e-02
1.718525826410080004e+00 1.578206955151379542e+00 5.532578408349086291e-02
1.769825104810381022e+00 1.656980609860171594e+00 4.722367315788769671e-02
1.821124383210682041e+00 1.908095607286772744e+00 5.529804806056824035e-02
1.872423661610982837e+00 1.873203941354703472e+00 5.015257051895240237e-02
1.923722940011283633e+00 2.205557828347823435e+00 7.811478507869962229e-02
1.975022218411584651e+00 2.402811268498166619e+00 4.958971678846857412e-02
2.026321496811885225e+00 2.411565722287353886e+00 6.157247465153973393e-02
2.077620775212186466e+00 2.507219491623433605e+00 4.518890537887235853e-02
2.128920053612487706e+00 2.325470353489081266e+00 4.663994466238018111e-02
2.180219332012788058e+00 2.369822117923065630e+00 4.035875892391908859e-02
2.231518610413089299e+00 2.266484183921043893e+00 4.547903453969068949e-02
2.282817888813390095e+00 2.114297810816749390e+00 3.250265915182940640e-02
2.334117167213690891e+00 1.966501286562030826e+00 3.499026995337011642e-02
2.385416445613992131e+00 2.029329011602405863e+00 5.038125091293556290e-02
2.436715724014292483e+00 1.825141614989198136e+00 4.646378923224783741e-02
2.488015002414593724e+00 1.859557513498651726e+00 4.738741645406543274e-02
2.539314280814894520e+00 1.752581856834459773e+00 2.135628152847845324e-02
