# measure_times mean_pressure std_pressure
0.000000000000000000e+00 8.913962384932657912e+00 5.693691032847707917e-02
2.000000000000000111e-01 8.659712057887919201e+00 4.916724048751581339e-02
4.000000000000000222e-01 8.743769999296260309e+00 4.124918087621801815e-02
5.999999999999999778e-01 8.695952127501143991e+00 5.169271994510757362e-02
8.000000000000000444e-01 8.844459274636722768e+00 6.549492858842710652e-02
1.000000000000000000e+00 8.705808140151747310e+00 5.139838538747581315e-02
1.199999999999999956e+00 8.656279594385566156e+00 4.939082438331120900e-02
1.400000000000000133e+00 8.744699946205866325e+00 5.926461906502222821e-02
1.600000000000000089e+00 8.684950236839926063e+00 3.389824827183408190e-02
1.800000000000000044e+00 8.725489929427087787e+00 3.779959724197528431e-02
2.000000000000000000e+00 8.704949175892600977e+00 6.287875387097728586e-02
2.200000000000000178e+00 8.826190820772081835e+00 4.964415702123579910e-02
2.399999999999999911e+00 8.694906240534242770e+00 4.322686827785664210e-02
2.600000000000000089e+00 8.692359289955644996e+00 4.490357814860018726e-02
2.800000000000000266e+00 8.723476165563258888e+00 3.612142385033444147e-02
3.000000000000000000e+00 8.680707938812266988e+00 4.002549508035151138e-02
3.200000000000000178e+00 8.785739745409575363e+00 5.212509487523719204e-02
3.399999999999999911e+00 8.777723613465067132e+00 4.617336223376206084e-02
3.600000000000000089e+00 8.778696598452853550e+00 3.468744127899969776e-02
3.800000000000000266e+00 8.705015840395484261e+00 5.804314346355158444e-02
4.000000000000000000e+00 8.751482260603998142e+00 5.621345594042891775e-02
4.200000000000000178e+00 8.691094683229456663e+00 5.486787251478383171e-02
4.400000000000000355e+00 8.781054467466415048e+00 4.160445774933487634e-02
4.600000000000000533e+00 8.703970984894715102e+00 5.620401159491338061e-02
4.799999999999999822e+00 8.732804518811283501e+00 5.594552110076805168e-02
