# r_bins corr_mean corr_std
2.564963920015045015e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.694891760045134699e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.282481960007522404e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.795474744010531476e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.308467528013540271e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.821460312016549343e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.334453096019558416e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.847445880022567488e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.360438664025576561e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.873431448028585633e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.386424232031594705e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.899417016034602668e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.412409800037612850e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.925402584040620813e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.438395368043630995e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.951388152046638957e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.464380936049649140e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.977373720052657102e-01 1.259199470637554705e-02 4.413617958569254242e-03
9.490366504055667285e-01 5.633744892370355917e-01 2.959289703960688023e-02
1.000335928805867525e+00 2.841063631400676304e+00 4.569021776427687614e-02
1.051635207206168321e+00 4.993164111482617074e+00 6.321379069556250230e-02
1.102934485606469339e+00 5.239059776968471915e+00 7.338571143921340800e-02
1.154233764006770357e+00 4.335377140387670636e+00 5.444118472449097773e-02
1.205533042407071154e+00 3.433584432496743943e+00 6.024043159136290015e-02
1.256832320807371950e+00 2.649642034789081890e+00 4.073161628739868645e-02
1.308131599207672968e+00 2.271376053965299846e+00 3.543920354391602578e-02
1.359430877607973986e+00 1.728989803577445583e+00 3.801021201378822906e-02
1.410730156008274783e+00 1.583677482988620211e+00 3.352890623401989095e-02
1.462029434408575579e+00 1.464318374864986172e+00 3.411064329690920160e-02
1.513328712808876597e+00 1.337605527879923928e+00 3.367383783169830558e-02
1.564627991209177615e+00 1.333056037277341010e+00 2.980497702874363580e-02
1.615927269609478412e+00 1.368019177976602885e+00 3.152494858830906521e-02
1.667226548009779208e+00 1.413432778579550408e+00 2.141581728962296816e-02
1.718525826410080004e+00 1.531081646381696082e+00 3.077280570306335783e-02
1.769825104810381022e+00 1.674568672199469921e+00 2.563469184449265054e-02
1.821124383210682041e+00 1.823728493379247251e+00 3.238438070293468002e-02
1.872423661610982837e+00 1.966657383020522509e+00 2.699969071483161384e-02
1.923722940011283633e+00 2.190671292383841173e+00 2.824065160781818670e-02
1.975022218411584651e+00 2.365644814229054038e+00 2.598065418833201204e-02
2.026321496811885225e+00 2.412624975166835828e+00 2.756595807788795455e-02
2.077620775212186466e+00 2.455160681013704327e+00 2.234437689105383401e-02
2.128920053612487706e+00 2.446382016985487073e+00 2.611206894397245099e-02
2.180219332012788058e+00 2.359757236341152531e+00 2.420376655535730337e-02
2.231518610413089299e+00 2.251054041114644022e+00 2.366178924608003734e-02
2.282817888813390095e+00 2.166877059006798056e+00 2.274179032632834413e-02
2.334117167213690891e+00 2.014399829401160247e+00 2.390487977543229864e-02
2.385416445613992131e+00 1.944741788519919856e+00 2.165669706926536334e-02
2.436715724014292483e+00 1.849069893018488342e+00 1.901428530974796222e-02
2.488015002414593724e+00 1.823724730178085673e+00 1.841068712731823431e-02
2.539314280814894520e+00 1.773266594593121637e+00 1.875663622883739709e-02
