# measure_times mean_pressure std_pressure
0.000000000000000000e+00 9.174206173959398303e-01 2.894047908699113117e-02
2.000000000000000111e-01 9.665441703792764239e-01 2.781712096358949365e-02
4.000000000000000222e-01 1.002131992242556446e+00 3.254000382477576642e-02
5.999999999999999778e-01 9.961375459973748070e-01 3.265134235999084256e-02
8.000000000000000444e-01 1.031369848126595157e+00 2.847611447630240752e-02
1.000000000000000000e+00 9.908692101206401093e-01 2.667137738634643707e-02
1.199999999999999956e+00 9.388474196856841925e-01 3.028399078281346010e-02
1.400000000000000133e+00 1.012470003158252307e+00 2.788047262430565915e-02
1.600000000000000089e+00 9.993367048116840179e-01 2.212485642606046646e-02
1.800000000000000044e+00 9.635652261723630652e-01 2.564122276554814395e-02
2.000000000000000000e+00 1.007320800387767390e+00 2.654748344077029892e-02
2.200000000000000178e+00 9.646234946602816329e-01 2.640819812020832325e-02
2.399999999999999911e+00 9.886586150903865500e-01 2.391683019458958406e-02
2.600000000000000089e+00 9.761918392022805868e-01 2.131497760814467582e-02
2.800000000000000266e+00 1.014007515752960220e+00 2.635672237376815788e-02
3.000000000000000000e+00 9.814159558020052465e-01 2.927375764266534897e-02
3.200000000000000178e+00 1.024654129333370411e+00 2.293821361152210969e-02
3.399999999999999911e+00 1.017987591301849903e+00 2.217580155455781479e-02
3.600000000000000089e+00 9.708490777432801089e-01 2.712012628994463909e-02
3.800000000000000266e+00 9.764709191506354413e-01 2.131748336549032716e-02
4.000000000000000000e+00 9.606498530249628631e-01 2.230494790841774586e-02
4.200000000000000178e+00 9.901824792678582954e-01 2.641077887697751078e-02
4.400000000000000355e+00 1.020846586261696887e+00 2.298252997024811256e-02
4.600000000000000533e+00 9.668061003679361276e-01 2.502498820562182313e-02
4.799999999999999822e+00 9.806057276347495133e-01 2.688850114407947620e-02
