# r_bins corr_mean corr_std
2.564963920015045015e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.694891760045134699e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.282481960007522404e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.795474744010531476e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.308467528013540271e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.821460312016549343e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.334453096019558416e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.847445880022567488e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.360438664025576561e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.873431448028585633e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.386424232031594705e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.899417016034602668e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.412409800037612850e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.925402584040620813e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.438395368043630995e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.951388152046638957e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.464380936049649140e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.977373720052657102e-01 1.259199470637554705e-02 4.413617958569253374e-03
9.490366504055667285e-01 5.617648478392153200e-01 2.360087812879645142e-02
1.000335928805867525e+00 2.817883102026677467e+00 5.878739750880846576e-02
1.051635207206168321e+00 5.033801572090640164e+00 5.641380056252889852e-02
1.102934485606469339e+00 5.192580402241045334e+00 6.553721762795998440e-02
1.154233764006770357e+00 4.308172213552907692e+00 5.449010343285796976e-02
1.205533042407071154e+00 3.433584432496744387e+00 5.819021637999543389e-02
1.256832320807371950e+00 2.749680476698333820e+00 4.331784310450502440e-02
1.308131599207672968e+00 2.132433244248661541e+00 4.237094744730768997e-02
1.359430877607973986e+00 1.873333779919664766e+00 3.877512811392583997e-02
1.410730156008274783e+00 1.584405945492294743e+00 3.065174244475573836e-02
1.462029434408575579e+00 1.421589306955540311e+00 3.282060959139321971e-02
1.513328712808876597e+00 1.360394831715077357e+00 2.752783304291039901e-02
1.564627991209177615e+00 1.319435295892454674e+00 2.493124578833285504e-02
1.615927269609478412e+00 1.374126406449711846e+00 2.705437896824565425e-02
1.667226548009779208e+00 1.430122759728829740e+00 2.496271806025786993e-02
1.718525826410080004e+00 1.476102119483731157e+00 2.895002967568118674e-02
1.769825104810381022e+00 1.664848953538278220e+00 2.796595214543224142e-02
1.821124383210682041e+00 1.839902499672398717e+00 3.054753308094966188e-02
1.872423661610982837e+00 1.993122074465710769e+00 2.403348128219387134e-02
1.923722940011283633e+00 2.198898062258674457e+00 2.628418226916863151e-02
1.975022218411584651e+00 2.309523468282692615e+00 2.714952881879063862e-02
2.026321496811885225e+00 2.365311679883306706e+00 3.146807184613325398e-02
2.077620775212186466e+00 2.502517405503846160e+00 2.593112601767379177e-02
2.128920053612487706e+00 2.447981377613746012e+00 2.363337702721291650e-02
2.180219332012788058e+00 2.397881787787792263e+00 2.372926965077124320e-02
2.231518610413089299e+00 2.285407943966626831e+00 2.544391305722792929e-02
2.282817888813390095e+00 2.137388168487511120e+00 2.636454224220604117e-02
2.334117167213690891e+00 2.048727118435869077e+00 2.397436066231452972e-02
2.385416445613992131e+00 1.916206339769201739e+00 2.374822139373922517e-02
2.436715724014292483e+00 1.858104038805056479e+00 2.045756438173746902e-02
2.488015002414593724e+00 1.792341769622818548e+00 2.159586506690957045e-02
2.539314280814894520e+00 1.784508299896742534e+00 2.008162554747194156e-02
