# r_bins corr_mean corr_std
2.564963920015045015e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.694891760045134699e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.282481960007522404e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.795474744010531476e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.308467528013540271e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.821460312016549343e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.334453096019558416e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.847445880022567488e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.360438664025576561e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.873431448028585633e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.386424232031594705e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.899417016034602668e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.412409800037612850e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.925402584040620813e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.438395368043630995e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.951388152046638957e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.464380936049649140e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.977373720052657102e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.490366504055667285e-01 5.955673171934378063e-01 4.720395184129794891e-02
1.000335928805867525e+00 2.709224370586059916e+00 1.456729599701428179e-01
1.051635207206168321e+00 4.974811709917704050e+00 1.740197848209490694e-01
1.102934485606469339e+00 5.380881458829084529e+00 1.146371068009961192e-01
1.154233764006770357e+00 4.331024352094106078e+00 1.348662125642551557e-01
1.205533042407071154e+00 3.626112554365388263e+00 1.503050967301921004e-01
1.256832320807371950e+00 2.689106741230346209e+00 1.046837012438031761e-01
1.308131599207672968e+00 2.190043677545804535e+00 8.366623159951727673e-02
1.359430877607973986e+00 1.721929500386794043e+00 3.159898950486770414e-02
1.410730156008274783e+00 1.496990445051340490e+00 6.082770955978535760e-02
1.462029434408575579e+00 1.427693459514032481e+00 5.823582876702881189e-02
1.513328712808876597e+00 1.323045694874132483e+00 5.551262035249699550e-02
1.564627991209177615e+00 1.246593939790672012e+00 7.994234628950090682e-02
1.615927269609478412e+00 1.279741966410742116e+00 6.286918581716398335e-02
1.667226548009779208e+00 1.468196779225622084e+00 6.493917064672868888e-02
1.718525826410080004e+00 1.585570284646642403e+00 5.747800728847572704e-02
1.769825104810381022e+00 1.705579203166126545e+00 5.388204963597238023e-02
1.821124383210682041e+00 1.792254751403383306e+00 6.235884899255338815e-02
1.872423661610982837e+00 2.084094451308544205e+00 7.578650209824619455e-02
1.923722940011283633e+00 2.244732922989880475e+00 6.299764497180648792e-02
1.975022218411584651e+00 2.343344941667585779e+00 5.206289331121783520e-02
2.026321496811885225e+00 2.492775109714306936e+00 9.835156489642853106e-02
2.077620775212186466e+00 2.386308705691158050e+00 7.213050339761310770e-02
2.128920053612487706e+00 2.429428794325938501e+00 4.811125600062533120e-02
2.180219332012788058e+00 2.369822117923065630e+00 5.448263853121140809e-02
2.231518610413089299e+00 2.292686313214928440e+00 5.776109433210815242e-02
2.282817888813390095e+00 2.118470767022309076e+00 4.191692446370334779e-02
2.334117167213690891e+00 1.981136952429542131e+00 5.690032942782859843e-02
2.385416445613992131e+00 1.871364920303787871e+00 6.861247212835865084e-02
2.436715724014292483e+00 1.861766530340152048e+00 4.623870380841826194e-02
2.488015002414593724e+00 1.793981178010034538e+00 3.002894117605337670e-02
2.539314280814894520e+00 1.723353423045046018e+00 2.503899017692324744e-02
