# simulation_index pressure
0.000000000000000000e+00 9.143016391764465789e-01
1.000000000000000000e+00 1.049887788411786982e+00
2.000000000000000000e+00 1.006643158105479552e+00
3.000000000000000000e+00 1.079142416181743336e+00
4.000000000000000000e+00 1.238382166235147963e+00
5.000000000000000000e+00 1.010430378083300162e+00
6.000000000000000000e+00 8.682750250198592035e-01
7.000000000000000000e+00 1.554086710400202964e+00
8.000000000000000000e+00 9.430754540191604862e-01
9.000000000000000000e+00 9.168285693990692042e-01
1.000000000000000000e+01 7.932465326467589284e-01
1.100000000000000000e+01 8.100172478876445092e-01
1.200000000000000000e+01 1.082760132514633433e+00
1.300000000000000000e+01 8.702446344425878166e-01
1.400000000000000000e+01 1.331752371064234719e+00
1.500000000000000000e+01 1.061758560670867935e+00
1.600000000000000000e+01 6.964731156905796805e-01
1.700000000000000000e+01 9.487243713198341144e-01
1.800000000000000000e+01 8.193236239941882326e-01
1.900000000000000000e+01 1.281825705315678077e+00
2.000000000000000000e+01 1.199547865809282632e+00
2.100000000000000000e+01 7.046400410338590214e-01
2.200000000000000000e+01 1.291836713282034976e+00
2.300000000000000000e+01 1.032393081271379076e+00
2.400000000000000000e+01 8.601074439856861709e-01
2.500000000000000000e+01 7.540202814537736442e-01
2.600000000000000000e+01 9.411610915770523000e-01
2.700000000000000000e+01 8.772529463576891340e-01
2.800000000000000000e+01 1.271094971461259826e+00
2.900000000000000000e+01 1.210110249237978719e+00
3.000000000000000000e+01 9.550296556899682265e-01
3.100000000000000000e+01 1.223740963627824696e+00
3.200000000000000000e+01 7.728449667112561317e-01
3.300000000000000000e+01 8.583446429491827789e-01
3.400000000000000000e+01 1.010465701764917457e+00
3.500000000000000000e+01 8.268628101303637790e-01
3.600000000000000000e+01 1.042182802182514356e+00
3.700000000000000000e+01 8.802799384332687938e-01
3.800000000000000000e+01 6.914998227783174523e-01
3.900000000000000000e+01 1.117933790597510191e+00
4.000000000000000000e+01 1.055922525208087270e+00
4.100000000000000000e+01 1.123680450537010156e+00
4.200000000000000000e+01 7.940516622151637671e-01
4.300000000000000000e+01 1.159907228581306571e+00
4.400000000000000000e+01 8.832522371147126794e-01
4.500000000000000000e+01 9.649649444680687971e-01
4.600000000000000000e+01 9.269238578888784330e-01
4.700000000000000000e+01 8.268240567118102513e-01
4.800000000000000000e+01 8.563440164874731586e-01
4.900000000000000000e+01 6.398860216106365684e-01
