# measure_times mean_pressure std_pressure
0.000000000000000000e+00 8.296021748940336504e-01 4.995883555312888302e-02
2.000000000000000111e-01 9.437447169299313376e-01 5.389996017936815598e-02
4.000000000000000222e-01 9.258213122792220418e-01 4.430631404963294301e-02
5.999999999999999778e-01 9.272067964695503983e-01 7.032281941317287954e-02
8.000000000000000444e-01 8.056369586581322295e-01 6.419620585230011167e-02
1.000000000000000000e+00 1.061140320235322232e+00 6.753469787953690628e-02
1.199999999999999956e+00 9.989422965346331784e-01 6.009902881323305607e-02
1.400000000000000133e+00 9.946617834367147415e-01 5.278654734738504051e-02
1.600000000000000089e+00 9.535832799835987084e-01 5.616714228830944206e-02
1.800000000000000044e+00 9.417573926825266728e-01 4.198811496167620394e-02
2.000000000000000000e+00 9.483319177159182933e-01 3.533233840668054820e-02
2.200000000000000178e+00 1.027463501121890666e+00 4.575675550158275068e-02
2.399999999999999911e+00 8.967580854296371973e-01 7.462276279188335970e-02
2.600000000000000089e+00 8.717697741861833993e-01 5.610069312557629251e-02
2.800000000000000266e+00 9.827762553387238142e-01 6.493850246081839250e-02
3.000000000000000000e+00 9.631911394832366469e-01 7.243304781831974570e-02
3.200000000000000178e+00 9.585830547136749979e-01 5.859118995453228146e-02
3.399999999999999911e+00 9.945078210956440623e-01 3.375095658773515778e-02
3.600000000000000089e+00 9.235585917383837273e-01 3.981552558693356864e-02
3.800000000000000266e+00 9.539971189521448958e-01 6.182745585595132709e-02
4.000000000000000000e+00 9.746432225143761841e-01 3.420806185144087408e-02
4.200000000000000178e+00 8.730939901852691198e-01 6.362153318571649174e-02
4.400000000000000355e+00 9.706313146253788826e-01 4.612252698280338431e-02
4.600000000000000533e+00 8.927324817887383190e-01 4.236774492828633554e-02
4.799999999999999822e+00 9.201803623209737770e-01 4.439945911683915863e-02
