# r_bins corr_mean corr_std
2.564963920015045015e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.694891760045134699e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.282481960007522404e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.795474744010531476e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.308467528013540271e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.821460312016549343e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.334453096019558416e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.847445880022567488e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.360438664025576561e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.873431448028585633e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.386424232031594705e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.899417016034602668e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.412409800037612850e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.925402584040620813e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.438395368043630995e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.951388152046638957e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.464380936049649140e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.977373720052657102e-01 1.798856386625078199e-02 1.137696673055139766e-02
9.490366504055667285e-01 4.748442123569301954e-01 3.498887988311113334e-02
1.000335928805867525e+00 3.027956649478538154e+00 9.599212971559945018e-02
1.051635207206168321e+00 5.020692713829989273e+00 1.132229018413768440e-01
1.102934485606469339e+00 5.118690114212826714e+00 1.132033073340277529e-01
1.154233764006770357e+00 4.320142381360200901e+00 1.472487869542797867e-01
1.205533042407071154e+00 3.321858268510796020e+00 1.135636561379168158e-01
1.256832320807371950e+00 2.698284579937617167e+00 6.579940713642683237e-02
1.308131599207672968e+00 2.287473086798325728e+00 7.163829645010452718e-02
1.359430877607973986e+00 1.941583377429300983e+00 7.751064758937163679e-02
1.410730156008274783e+00 1.595332883047414052e+00 5.590682764601090371e-02
1.462029434408575579e+00 1.346304758734135465e+00 5.166428748987612202e-02
1.513328712808876597e+00 1.345201962491642034e+00 9.077505390626461335e-02
1.564627991209177615e+00 1.249554970526516762e+00 7.346698563478079591e-02
1.615927269609478412e+00 1.363022354680421433e+00 4.308636801236136182e-02
1.667226548009779208e+00 1.400393730806676285e+00 6.577162469524268362e-02
1.718525826410080004e+00 1.590479170976817569e+00 4.044993824068656568e-02
1.769825104810381022e+00 1.631524203842766862e+00 5.228802969996021455e-02
1.821124383210682041e+00 1.886238842025755869e+00 4.738937855955789591e-02
1.872423661610982837e+00 2.001392290542331587e+00 4.639804971873572742e-02
1.923722940011283633e+00 2.256485451382498120e+00 7.575089822807833106e-02
1.975022218411584651e+00 2.274587001269726461e+00 7.222160299670864203e-02
2.026321496811885225e+00 2.342714285121023643e+00 2.677976195257541353e-02
2.077620775212186466e+00 2.466915896312675383e+00 5.391887441767376221e-02
2.128920053612487706e+00 2.495002580084570987e+00 4.913968835625077969e-02
2.180219332012788058e+00 2.409471651427570027e+00 6.137934382538799000e-02
2.231518610413089299e+00 2.241737728476818958e+00 5.603871679882228840e-02
2.282817888813390095e+00 2.128207664835280788e+00 5.398027069755909069e-02
2.334117167213690891e+00 2.055645796845965378e+00 4.812898072679788058e-02
2.385416445613992131e+00 1.850982456910417850e+00 5.152780120948912551e-02
2.436715724014292483e+00 1.876416496480533880e+00 2.889270219550997554e-02
2.488015002414593724e+00 1.805691237918715997e+00 2.488491052507825832e-02
2.539314280814894520e+00 1.750333515773735638e+00 4.115293363694011441e-02
