# simulation_index pressure
0.000000000000000000e+00 9.910031661191650576e-01
1.000000000000000000e+00 9.794997241660655662e-01
2.000000000000000000e+00 8.491651206709429633e-01
3.000000000000000000e+00 1.016298437501524266e+00
4.000000000000000000e+00 7.976064164849478999e-01
5.000000000000000000e+00 8.424254763118634859e-01
6.000000000000000000e+00 1.077740022735028891e+00
7.000000000000000000e+00 9.147110175032883150e-01
8.000000000000000000e+00 1.033110083506961763e+00
9.000000000000000000e+00 1.312420038499360508e+00
