# r_bins corr_mean corr_std
3.556893304490062885e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.067067991347018796e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.778446652245031512e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.489825313143043950e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.201203974041056943e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.912582634939069104e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.623961295837081265e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.335339956735094535e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.046718617633106696e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.758097278531118857e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.469475939429132128e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.180854600327144288e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.892233261225157559e-01 2.291743036560348890e-01 5.602517928795922725e-02
9.603611922123169720e-01 1.662523306568787662e+00 1.227854835560654168e-01
1.031499058302118188e+00 2.318888442508813874e+00 1.880812859788596747e-01
1.102636924391919404e+00 2.923609592986518013e+00 1.488261168648548904e-01
1.173774790481720842e+00 2.832909736512404741e+00 1.214104172791030251e-01
1.244912656571521836e+00 2.473427531609482255e+00 1.394838856354283785e-01
1.316050522661323274e+00 2.350076440817349344e+00 1.066501309696324118e-01
1.387188388751124712e+00 2.245613783106091610e+00 6.717730810565393507e-02
1.458326254840925706e+00 2.031873030401170066e+00 1.139038342190031167e-01
1.529464120930727145e+00 2.192873064063236566e+00 1.133130384615480823e-01
1.600601987020528139e+00 2.007723600405435072e+00 8.231906979333521168e-02
1.671739853110329577e+00 1.785623513704001741e+00 8.280307710349439632e-02
1.742877719200130793e+00 2.133847499440462592e+00 9.674896061864628194e-02
1.814015585289932009e+00 1.808798163079416765e+00 7.993706897743334261e-02
1.885153451379733447e+00 2.023953581320241391e+00 9.084378710759903608e-02
1.956291317469534441e+00 1.977775697476588990e+00 4.432561150519816195e-02
2.027429183559335879e+00 1.848201746876835472e+00 5.536068826532854897e-02
2.098567049649137317e+00 2.082689156045882672e+00 5.640775417983275725e-02
2.169704915738938311e+00 2.149708314223343741e+00 6.042244232859534520e-02
2.240842781828739305e+00 2.112545849107537954e+00 7.453478435837330995e-02
2.311980647918541187e+00 1.955857165931111918e+00 7.141780593590631165e-02
2.383118514008342181e+00 2.047005599683125787e+00 6.961278533444374694e-02
2.454256380098143175e+00 2.020312950290405141e+00 9.222386665557795460e-02
2.525394246187944614e+00 1.921209666443382202e+00 8.027415918931000982e-02
2.596532112277746052e+00 1.941433223986828382e+00 6.087533535365841075e-02
2.667669978367547046e+00 1.984218543620199782e+00 5.973720252495873240e-02
2.738807844457348484e+00 1.990263626111010264e+00 6.461246708066187283e-02
2.809945710547149922e+00 2.005518785152585970e+00 4.453623381698738892e-02
2.881083576636950916e+00 2.021897031423050439e+00 4.367514416197671584e-02
2.952221442726751910e+00 2.002399506580695210e+00 6.503716958503269474e-02
3.023359308816553792e+00 2.098375311622996175e+00 3.207541567090847062e-02
3.094497174906354786e+00 2.014652607929817041e+00 3.808194142171071606e-02
3.165635040996155780e+00 1.959898431211053005e+00 5.302008675935950682e-02
3.236772907085957218e+00 2.041010130978453407e+00 4.617481607709978536e-02
3.307910773175758656e+00 2.012768260095292749e+00 5.773469926902075056e-02
3.379048639265559650e+00 2.036345293513031507e+00 5.707431605770848376e-02
3.450186505355360644e+00 1.964948052676787738e+00 4.152698311392680891e-02
3.521324371445162527e+00 2.061728752684026666e+00 2.579230385860278515e-02
