# simulation_index pressure
0.000000000000000000e+00 9.024325263213560655e-01
1.000000000000000000e+00 9.235047336201714918e-01
2.000000000000000000e+00 9.729216703129556221e-01
3.000000000000000000e+00 9.412732635419865934e-01
4.000000000000000000e+00 1.178006777331924715e+00
5.000000000000000000e+00 9.483974203882299392e-01
6.000000000000000000e+00 1.004752875221476049e+00
7.000000000000000000e+00 9.728163192335823606e-01
8.000000000000000000e+00 9.389620806668522723e-01
9.000000000000000000e+00 9.108848066326254989e-01
