# simulation_index pressure
0.000000000000000000e+00 9.034559346459976936e+00
1.000000000000000000e+00 8.675292972143534342e+00
2.000000000000000000e+00 8.945714504359871810e+00
3.000000000000000000e+00 8.822891084045844323e+00
4.000000000000000000e+00 8.747639445137016523e+00
5.000000000000000000e+00 8.891137176293872457e+00
6.000000000000000000e+00 9.199028896387783760e+00
7.000000000000000000e+00 9.203471517471065511e+00
8.000000000000000000e+00 8.687778470590105329e+00
9.000000000000000000e+00 8.815853640321945406e+00
