# r_bins corr_mean corr_std
2.240702373278582321e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.722107119835746269e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.120351186639291091e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.568491661295007555e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.016632135950724158e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.464772610606440484e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.912913085262156532e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.361053559917873690e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.809194034573589738e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.257334509229306896e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.705474983885022944e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.153615458540738992e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.601755933196455040e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.049896407852172198e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.498036882507889356e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.946177357163605404e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.394317831819321452e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.842458306475037499e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.290598781130754658e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.738739255786471816e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.186879730442187864e-01 1.573062991278325121e-02 4.371366918555861375e-03
9.635020205097903911e-01 1.061874945695839401e+00 3.546177938704222349e-02
1.008316067975361996e+00 8.295326290455625085e+00 7.044275463204006937e-02
1.053130115440933601e+00 1.334928148624969424e+01 1.104429937718521687e-01
1.097944162906505206e+00 7.340435398075190854e+00 5.889512849825308954e-02
1.142758210372077032e+00 1.831672893947399627e+00 3.387916955823091353e-02
1.187572257837648637e+00 2.424037428790520587e-01 1.655564850976288041e-02
1.232386305303220242e+00 1.675463758451622293e-02 4.147760843684908730e-03
1.277200352768791847e+00 2.034717519497433909e-03 1.138957251334276862e-03
1.322014400234363674e+00 3.101877466451315180e-02 5.481523443946640164e-03
1.366828447699935278e+00 1.977968531544344044e-01 1.414963787419099353e-02
1.411642495165506883e+00 9.482860210974175530e-01 2.127751898223136096e-02
1.456456542631078488e+00 2.109717929651027557e+00 2.704337486644512942e-02
1.501270590096650093e+00 2.590419316433539176e+00 3.890248282893001008e-02
1.546084637562221697e+00 1.541732517163193483e+00 2.288985777944232622e-02
1.590898685027793524e+00 5.022684656981677431e-01 1.598373751733905834e-02
1.635712732493365129e+00 1.091668522113999479e-01 8.792138241793926584e-03
1.680526779958936734e+00 1.065562574263957535e-01 1.039668928305364538e-02
1.725340827424508339e+00 9.317630085266673801e-01 2.147957403097103604e-02
1.770154874890080166e+00 3.909702378168061543e+00 3.175486317058361097e-02
1.814968922355651770e+00 7.466241031318008758e+00 6.550281476225529309e-02
1.859782969821223375e+00 6.164575605562804483e+00 4.148029896667596722e-02
1.904597017286794980e+00 2.383546956443855613e+00 2.993085668726273851e-02
1.949411064752366585e+00 4.573727235632574772e-01 1.752665167544257066e-02
1.994225112217938189e+00 2.392494891187374184e-01 1.024430293647446942e-02
2.039039159683509794e+00 1.095013909905650396e+00 1.746272529739771595e-02
2.083853207149081399e+00 2.419143624000609893e+00 2.497956438021718337e-02
2.128667254614653004e+00 2.596706498382625128e+00 2.481441250392101699e-02
2.173481302080224609e+00 1.335181030787886414e+00 1.591358796928772981e-02
2.218295349545796658e+00 5.173432780726224811e-01 1.940225846401453721e-02
