# r_bins corr_mean corr_std
2.240702373278582321e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.722107119835746269e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.120351186639291091e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.568491661295007555e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.016632135950724158e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.464772610606440484e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.912913085262156532e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.361053559917873690e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.809194034573589738e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.257334509229306896e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.705474983885022944e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.153615458540738992e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.601755933196455040e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.049896407852172198e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.498036882507889356e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.946177357163605404e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.394317831819321452e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.842458306475037499e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.290598781130754658e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.738739255786471816e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.186879730442187864e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.635020205097903911e-01 9.415052829401945322e-01 4.826336451625444501e-02
1.008316067975361996e+00 8.156037065061640945e+00 1.333762982977901579e-01
1.053130115440933601e+00 1.373134506488021600e+01 2.106766801921829968e-01
1.097944162906505206e+00 7.397337998060271147e+00 9.377577681016144306e-02
1.142758210372077032e+00 1.728312998914290022e+00 5.111435921924053355e-02
1.187572257837648637e+00 1.765075797663001045e-01 2.166211045320847253e-02
1.232386305303220242e+00 1.821156259186546000e-02 5.759001754101430309e-03
1.277200352768791847e+00 3.391195865829056081e-03 3.217170878329976124e-03
1.322014400234363674e+00 9.495543264646884654e-03 4.586783161924653032e-03
1.366828447699935278e+00 1.687787519431551142e-01 2.137281748553487154e-02
1.411642495165506883e+00 8.439079344660859183e-01 4.714320610283014024e-02
1.456456542631078488e+00 2.258363074261791503e+00 5.152651580218227390e-02
1.501270590096650093e+00 2.650798618294696318e+00 9.903305587555649714e-02
1.546084637562221697e+00 1.520441704857727228e+00 5.467142769466628444e-02
1.590898685027793524e+00 5.333050723688115280e-01 2.902920741355232565e-02
1.635712732493365129e+00 6.409417459381434867e-02 1.503781373772215650e-02
1.680526779958936734e+00 9.010271767673169729e-02 1.362707792837155978e-02
1.725340827424508339e+00 8.771283207510711666e-01 4.268482729208741833e-02
1.770154874890080166e+00 3.758582300695296308e+00 8.149480737595860003e-02
1.814968922355651770e+00 7.630814045503607090e+00 1.241604424561510711e-01
1.859782969821223375e+00 6.384647628011289378e+00 7.706196843888266090e-02
1.904597017286794980e+00 2.278323194451132405e+00 5.867515860900814756e-02
1.949411064752366585e+00 3.799308747613311388e-01 2.457029126793163279e-02
1.994225112217938189e+00 1.891740146520249910e-01 1.909250976511326151e-02
2.039039159683509794e+00 9.819201282021505772e-01 2.738405614379607611e-02
2.083853207149081399e+00 2.532521076626230716e+00 2.789820592250576853e-02
2.128667254614653004e+00 2.749310312344932949e+00 5.774928367215026448e-02
2.173481302080224609e+00 1.334946829589713335e+00 2.478552508483158542e-02
2.218295349545796658e+00 3.676037634283952915e-01 3.792472217296818937e-02
