# simulation_index pressure
0.000000000000000000e+00 8.826938321005501908e-01
1.000000000000000000e+00 7.640680167449698246e-01
2.000000000000000000e+00 1.058837872924485390e+00
3.000000000000000000e+00 1.038076804979244594e+00
4.000000000000000000e+00 9.778782724095305134e-01
5.000000000000000000e+00 8.169228790298348475e-01
6.000000000000000000e+00 9.588161519983436909e-01
7.000000000000000000e+00 7.688278626118950632e-01
8.000000000000000000e+00 9.490944315091245365e-01
9.000000000000000000e+00 1.170411913944632953e+00
1.000000000000000000e+01 9.332908947007111378e-01
1.100000000000000000e+01 1.110909874571112121e+00
1.200000000000000000e+01 9.754683213534556252e-01
1.300000000000000000e+01 1.081734987037653584e+00
1.400000000000000000e+01 1.030819434968761605e+00
1.500000000000000000e+01 1.044064488147309788e+00
1.600000000000000000e+01 1.060477808152831880e+00
1.700000000000000000e+01 1.009661211411879034e+00
1.800000000000000000e+01 9.501273380696608761e-01
1.900000000000000000e+01 1.005714993026156412e+00
2.000000000000000000e+01 9.170521213704770913e-01
2.100000000000000000e+01 9.116148214516438530e-01
2.200000000000000000e+01 8.824193667856020662e-01
2.300000000000000000e+01 9.117315426403737044e-01
2.400000000000000000e+01 9.539906449063774163e-01
2.500000000000000000e+01 1.099952927014806292e+00
2.600000000000000000e+01 1.039522924387452418e+00
2.700000000000000000e+01 8.177585130397783120e-01
2.800000000000000000e+01 9.448000820825260826e-01
2.900000000000000000e+01 9.850824420002951554e-01
3.000000000000000000e+01 1.014640994175529887e+00
3.100000000000000000e+01 9.327668849585712962e-01
3.200000000000000000e+01 1.049890999815239478e+00
3.300000000000000000e+01 1.073971393056042833e+00
3.400000000000000000e+01 9.865398871671974268e-01
3.500000000000000000e+01 1.007748710159767747e+00
3.600000000000000000e+01 9.763136174435248504e-01
3.700000000000000000e+01 9.762773620398064178e-01
3.800000000000000000e+01 1.065148122891679927e+00
3.900000000000000000e+01 8.877230783241010226e-01
4.000000000000000000e+01 9.377057430708953811e-01
4.100000000000000000e+01 9.312496215991625803e-01
4.200000000000000000e+01 9.281270236781907768e-01
4.300000000000000000e+01 9.444508253823449273e-01
4.400000000000000000e+01 1.139742283595171823e+00
4.500000000000000000e+01 1.168585892681528904e+00
4.600000000000000000e+01 8.368226999672759847e-01
4.700000000000000000e+01 9.722243870083014938e-01
4.800000000000000000e+01 8.312208339667027657e-01
4.900000000000000000e+01 1.020015334109981575e+00
