# r_bins corr_mean corr_std
3.556893304490062885e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.067067991347018796e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.778446652245031512e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.489825313143043950e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.201203974041056943e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.912582634939069104e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.623961295837081265e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.335339956735094535e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.046718617633106696e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.758097278531118857e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.469475939429132128e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.180854600327144288e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.892233261225157559e-01 1.762879258892576240e-01 5.574713697970181542e-02
9.603611922123169720e-01 1.526498672394977607e+00 1.236198226009814494e-01
1.031499058302118188e+00 2.934638480915109149e+00 2.170194423456006105e-01
1.102636924391919404e+00 2.969470135621601337e+00 1.995394792407232110e-01
1.173774790481720842e+00 2.579971367180938557e+00 1.989067195238747310e-01
1.244912656571521836e+00 2.455438967743231338e+00 1.220375249231877707e-01
1.316050522661323274e+00 2.543233408555761965e+00 1.104687873261228082e-01
1.387188388751124712e+00 2.296321191111712956e+00 5.889441349090893812e-02
1.458326254840925706e+00 2.162961613007697181e+00 6.619648936987526655e-02
1.529464120930727145e+00 1.936640613642804043e+00 1.387923552292636975e-01
1.600601987020528139e+00 2.149189219946197049e+00 1.433882891475954380e-01
1.671739853110329577e+00 1.930268993864381555e+00 8.166863117877250222e-02
1.742877719200130793e+00 1.826389902746890170e+00 1.100958168512682217e-01
1.814015585289932009e+00 1.914699694875635627e+00 5.708475682660310579e-02
1.885153451379733447e+00 1.961195330736667852e+00 6.421230254651476288e-02
1.956291317469534441e+00 2.054264260362423933e+00 4.437048306536908043e-02
2.027429183559335879e+00 1.909243272461758067e+00 8.209916400051744945e-02
2.098567049649137317e+00 1.933925644899748164e+00 9.657174464046451579e-02
2.169704915738938311e+00 2.140825222015809715e+00 3.793125446587777144e-02
2.240842781828739305e+00 1.943209059625856217e+00 7.910419242382545069e-02
2.311980647918541187e+00 2.070600786332404297e+00 5.786752318314279664e-02
2.383118514008342181e+00 2.056823372343477008e+00 6.178180101299309002e-02
2.454256380098143175e+00 2.122138574360024954e+00 8.037038758623875345e-02
2.525394246187944614e+00 2.032679169274568487e+00 6.925525687093322946e-02
2.596532112277746052e+00 2.036540708867971894e+00 4.522700575084456776e-02
2.667669978367547046e+00 1.992053562548611101e+00 6.169611018322896517e-02
2.738807844457348484e+00 1.971680398976454196e+00 4.224977507119693360e-02
2.809945710547149922e+00 1.913716868930812609e+00 6.639487027771420746e-02
2.881083576636950916e+00 1.973196853755884161e+00 5.947957826468971282e-02
2.952221442726751910e+00 2.095162423019736764e+00 6.547619114321606704e-02
3.023359308816553792e+00 1.971801800820155437e+00 5.090105937400592889e-02
3.094497174906354786e+00 1.981172109387630886e+00 4.591491616202923731e-02
3.165635040996155780e+00 2.041966569920387720e+00 3.848783965334769824e-02
3.236772907085957218e+00 2.055645796845964934e+00 6.045430662381100217e-02
3.307910773175758656e+00 2.000029220474436098e+00 2.213809056794359409e-02
3.379048639265559650e+00 2.027799479931141846e+00 3.523317702798043488e-02
3.450186505355360644e+00 2.078535633790999704e+00 4.293777344841921695e-02
3.521324371445162527e+00 2.049362876850044479e+00 5.688014057783722516e-02
