# simulation_index pressure
0.000000000000000000e+00 1.135276261678740406e+00
1.000000000000000000e+00 1.004578123044549631e+00
2.000000000000000000e+00 9.226764349596083825e-01
3.000000000000000000e+00 9.344221209224061742e-01
4.000000000000000000e+00 1.080483798577034360e+00
5.000000000000000000e+00 1.019024132077235301e+00
6.000000000000000000e+00 1.070898801247015086e+00
7.000000000000000000e+00 9.573573217958699644e-01
8.000000000000000000e+00 9.413589121688528127e-01
9.000000000000000000e+00 1.026849842887596065e+00
