# simulation_index pressure
0.000000000000000000e+00 9.643570329599004953e-01
1.000000000000000000e+00 8.437983735478375991e-01
2.000000000000000000e+00 9.792666373040631589e-01
3.000000000000000000e+00 1.144713543590810234e+00
4.000000000000000000e+00 7.315142460442403127e-01
5.000000000000000000e+00 1.028066774910030512e+00
6.000000000000000000e+00 7.800446385926379511e-01
7.000000000000000000e+00 9.075892067345782133e-01
8.000000000000000000e+00 7.265000393161684666e-01
9.000000000000000000e+00 1.095953130209472270e+00
