# r_bins corr_mean corr_std corr_sem
2.240702373278582321e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.722107119835746269e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.120351186639291091e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.568491661295007555e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.016632135950724158e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.464772610606440484e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.912913085262156532e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.361053559917873690e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.809194034573589738e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.257334509229306896e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.705474983885022944e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.153615458540738992e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.601755933196455040e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.049896407852172198e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.498036882507889356e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.946177357163605404e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.394317831819321452e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.842458306475037499e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.290598781130754658e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.738739255786471816e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.186879730442187864e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.635020205097903911e-01 9.732860519845890623e-01 1.966334763978815903e-01 1.135263905300088610e-01
1.008316067975361996e+00 8.125204814648910201e+00 2.279737518666867246e-01 1.316207070084005337e-01
1.053130115440933601e+00 1.374963357386600826e+01 1.430215481318562742e-01 8.257352931384424888e-02
1.097944162906505206e+00 7.479938546425707990e+00 4.558223896400218078e-01 2.631691793613251118e-01
1.142758210372077032e+00 1.680304304500004342e+00 2.302935618412079444e-01 1.329600499216591347e-01
1.187572257837648637e+00 1.568956264589334293e-01 5.547098070381167173e-02 3.202618564155820802e-02
1.232386305303220242e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.277200352768791847e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.322014400234363674e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.366828447699935278e+00 1.579216392450574213e-01 3.693054175079492352e-02 2.132185822114016430e-02
1.411642495165506883e+00 8.975775180176571721e-01 7.286115922069084927e-02 4.206640988953404964e-02
1.456456542631078488e+00 2.294872408025839139e+00 1.126702500935327367e-01 6.505019922116359044e-02
1.501270590096650093e+00 2.552620891691188998e+00 6.942213624281882989e-02 4.008088904751033049e-02
1.546084637562221697e+00 1.527384361044292760e+00 1.889551679629006276e-02 1.090933170881516409e-02
1.590898685027793524e+00 5.172767778440657827e-01 2.060675590782340416e-02 1.189731607050675474e-02
1.635712732493365129e+00 8.270216076621206280e-02 1.688150787523682098e-02 9.746543116094765619e-03
1.680526779958936734e+00 5.223345952274300458e-02 1.846731671668231517e-02 1.066211027758661063e-02
1.725340827424508339e+00 8.981893115035687325e-01 1.409823548141483085e-01 8.139620050293586151e-02
1.770154874890080166e+00 3.889811962986676974e+00 1.707588392218671036e-01 9.858766179125300066e-02
1.814968922355651770e+00 7.612901336476601166e+00 1.703400562510370420e-01 9.834587733031223411e-02
1.859782969821223375e+00 6.237506450211430575e+00 2.601932492632819116e-01 1.502226425034792201e-01
1.904597017286794980e+00 2.363722189691603415e+00 8.715998453563444937e-02 5.032184053421217412e-02
1.949411064752366585e+00 3.881796932427393210e-01 5.489689868217095814e-02 3.169473923182701547e-02
1.994225112217938189e+00 2.040111922717916804e-01 3.469727202492308565e-02 2.003247934373501501e-02
2.039039159683509794e+00 1.055541962565997416e+00 8.780951524204394509e-02 5.069684726240462208e-02
2.083853207149081399e+00 2.530822538010115696e+00 2.083740701910563042e-01 1.203048255169443387e-01
2.128667254614653004e+00 2.457938763552899974e+00 8.300051469253232062e-02 4.792036950061102918e-02
2.173481302080224609e+00 1.455950781979423958e+00 1.048833284140409383e-01 6.055441789335046232e-02
2.218295349545796658e+00 4.534154472460329433e-01 5.219294545550277886e-02 3.013361110853398500e-02
