# simulation_index pressure
0.000000000000000000e+00 9.039891060225510699e+00
1.000000000000000000e+00 8.997952115203615264e+00
2.000000000000000000e+00 8.852744468834819358e+00
3.000000000000000000e+00 8.776666082328944185e+00
4.000000000000000000e+00 8.928983154205253570e+00
5.000000000000000000e+00 8.652534540619257086e+00
6.000000000000000000e+00 8.933211130546327539e+00
7.000000000000000000e+00 8.811686786879725730e+00
8.000000000000000000e+00 8.812707203801680933e+00
9.000000000000000000e+00 9.147609820494590593e+00
