# istants mean_pressure std_pressure
0.000000000000000000e+00 9.162614699114451255e+00 4.571269308743002718e-02
2.000000000000000111e-01 8.834845773374686573e+00 2.608472711447367559e-02
4.000000000000000222e-01 8.841937388900751316e+00 4.997909959135451996e-02
5.999999999999999778e-01 8.867054492840647839e+00 4.072196213823098959e-02
8.000000000000000444e-01 8.924809607263254563e+00 3.484946531901058492e-02
1.000000000000000000e+00 8.910340125373023668e+00 2.853508746801883961e-02
1.199999999999999956e+00 8.737450856394449517e+00 5.049125797701478624e-02
1.400000000000000133e+00 8.822810007869225757e+00 3.946016572112642784e-02
1.600000000000000089e+00 8.841957775318332935e+00 5.279383788448771542e-02
1.800000000000000044e+00 8.818746210083862280e+00 3.076979477624953996e-02
2.000000000000000000e+00 8.894771050454959749e+00 6.078221934736000032e-02
2.200000000000000178e+00 8.882650461575007483e+00 6.302059743355979682e-02
2.399999999999999911e+00 8.800512886907673860e+00 5.666841644732837496e-02
2.600000000000000089e+00 8.908516028189682245e+00 6.181470947923706910e-02
2.800000000000000266e+00 8.895398636313974094e+00 4.316350028570985209e-02
