# simulation_index pressure
0.000000000000000000e+00 1.425097393792038591e+00
1.000000000000000000e+00 9.373839827027221627e-01
2.000000000000000000e+00 6.073683791177904023e-01
3.000000000000000000e+00 9.889139180128697637e-01
4.000000000000000000e+00 1.103953115206179225e+00
5.000000000000000000e+00 9.687723850340348442e-01
6.000000000000000000e+00 9.731571580145647049e-01
7.000000000000000000e+00 8.057072594220475725e-01
8.000000000000000000e+00 1.025328798259142804e+00
9.000000000000000000e+00 1.430260203865887814e+00
