# r_bins corr_mean corr_std
2.240702373278582321e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.722107119835746269e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.120351186639291091e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.568491661295007555e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.016632135950724158e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.464772610606440484e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.912913085262156532e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.361053559917873690e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.809194034573589738e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.257334509229306896e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.705474983885022944e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.153615458540738992e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.601755933196455040e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.049896407852172198e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.498036882507889356e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.946177357163605404e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.394317831819321452e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.842458306475037499e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.290598781130754658e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.738739255786471816e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.186879730442187864e-01 6.554429130326354380e-03 6.218077444196366127e-03
9.635020205097903911e-01 1.215614415948099047e+00 3.692591677158153091e-02
1.008316067975361996e+00 8.068981299190401302e+00 2.128322643072782794e-01
1.053130115440933601e+00 1.332733527546674068e+01 3.194357520181412835e-01
1.097944162906505206e+00 7.507472062547520864e+00 1.086324285812879514e-01
1.142758210372077032e+00 1.834214530710508884e+00 1.246654912039411450e-01
1.187572257837648637e+00 1.961195330736668074e-01 2.717511965122205997e-02
1.232386305303220242e+00 3.642312518373091827e-03 3.455401052460856711e-03
1.277200352768791847e+00 6.782391731658112162e-03 4.289561171106634832e-03
1.322014400234363674e+00 2.848662979394065570e-02 8.314250544472741658e-03
1.366828447699935278e+00 1.954280285657585547e-01 3.054314327604363069e-02
1.411642495165506883e+00 9.605004780436372513e-01 4.937870818095914383e-02
1.456456542631078488e+00 2.141011644305925277e+00 6.953126477626558888e-02
1.501270590096650093e+00 2.483896483068734007e+00 7.921427754308243974e-02
1.546084637562221697e+00 1.636152641300477217e+00 6.287268488517171183e-02
1.590898685027793524e+00 4.524350409030491460e-01 3.722714684804270813e-02
1.635712732493365129e+00 1.281883491876286973e-01 1.456121798674176598e-02
1.680526779958936734e+00 9.402022714093741240e-02 1.703103166577036795e-02
1.725340827424508339e+00 9.458862611489307071e-01 4.975656896366326132e-02
1.770154874890080166e+00 3.951013240467858623e+00 5.975371417509222488e-02
1.814968922355651770e+00 7.451127183076474481e+00 1.603206416568438986e-01
1.859782969821223375e+00 6.067974223615940410e+00 8.523856951151785599e-02
1.904597017286794980e+00 2.443021256700611765e+00 8.313040740050589572e-02
1.949411064752366585e+00 4.599929364926461095e-01 3.203805535811522776e-02
1.994225112217938189e+00 2.656782117539469579e-01 2.067380569093222459e-02
2.039039159683509794e+00 1.109649575773162145e+00 3.324690695694735437e-02
2.083853207149081399e+00 2.396213352683067566e+00 6.008857936116809156e-02
2.128667254614653004e+00 2.563744074566766784e+00 4.502200470969432156e-02
2.173481302080224609e+00 1.343143871525790178e+00 2.691021705014310164e-02
2.218295349545796658e+00 5.823203347275498487e-01 4.482044078954783989e-02
