# simulation_index pressure
0.000000000000000000e+00 8.494488862816281127e+00
1.000000000000000000e+00 8.683570328469251365e+00
2.000000000000000000e+00 8.962387563767391541e+00
3.000000000000000000e+00 8.885113017892258824e+00
4.000000000000000000e+00 8.992614748225104648e+00
5.000000000000000000e+00 9.010068041778438896e+00
6.000000000000000000e+00 8.788851749180906836e+00
7.000000000000000000e+00 9.050572004655162317e+00
8.000000000000000000e+00 9.091930426292815781e+00
9.000000000000000000e+00 8.892313909498446023e+00
